Book-Author,num_ratings,avg_rating
larissa lai,2,10.0
g . grossmith,1,10.0
arthur charles clarke,1,10.0
"arthur , bloch",1,10.0
art bell,1,10.0
susan j . douglas,2,10.0
gabriele lusser rico,1,10.0
gael baudino,3,10.0
susan macias,2,10.0
anne van wagner childs,2,10.0
garborgs heart n home,2,10.0
anzia yezierska,1,10.0
susan r . sloan,1,10.0
susan stamberg,1,10.0
gene stratton - porter,1,10.0
suzanne matson,1,10.0
kelly lange,1,10.0
kelly james - enger,1,10.0
keith hartman,1,10.0
kathryn wesley,1,10.0
bradbury,3,10.0
edmund morris,1,10.0
andrew goliszek,1,10.0
charles henderson,2,10.0
r . a . macavoy,1,10.0
naomi gladish smith,1,10.0
rachel dobkin,1,10.0
david lipsky,1,10.0
nancy friday,2,10.0
nan ryan,1,10.0
charles schulz,2,10.0
david mccullough,1,10.0
munro leaf,2,10.0
mumia abu - jamal,2,10.0
moveon,2,10.0
new yorker magazine,1,10.0
david schiller,2,10.0
david starkey,1,10.0
monte cook,4,10.0
charles c . mann,1,10.0
david wagner,1,10.0
char loving,2,10.0
dawn cook,1,10.0
moises kaufman,2,10.0
mitzi szereto,1,10.0
debbie stoller,2,10.0
pomegranate publishers,5,10.0
polina daschkowa,2,10.0
mike rose,1,10.0
dan nevins,2,10.0
patricia schultz,1,10.0
patricia evans,1,10.0
coleman barks,2,10.0
pamela e . apkarian - russell,2,10.0
paul mccartney,2,10.0
p . c . cast,1,10.0
owen parry,1,10.0
oscar martens,1,10.0
penny armstrong,2,10.0
pete hautman,1,10.0
chyna,1,10.0
phyllis reynolds naylor,1,10.0
dana fuller ross,1,10.0
christopher s . wren,1,10.0
peter hernon,1,10.0
o . t . nelson,1,10.0
o . risom,1,10.0
peter mcwilliams,5,10.0
christopher a . darden,1,10.0
nik c . colyer,1,10.0
nicole jordan,3,10.0
nicholas a . basbanes,1,10.0
deborah coates,2,10.0
richard branson,1,10.0
editor marvin kaye,1,10.0
bruce talkington,2,10.0
mary norton,2,10.0
mary mcbride,1,10.0
dorothy kunhardt,2,10.0
calvin miller,1,10.0
robin jones gunn,3,10.0
cait london,1,10.0
dudley randall,1,10.0
roman dirge,2,10.0
e . d . hirsch jr,1,10.0
mark morris,1,10.0
rosalie maggio,1,10.0
mary sheedy kurcinka,2,10.0
rosalind noonan,1,10.0
e b white,1,10.0
roy blount jr,1,10.0
rupert holmes,1,10.0
rupert sheldrake,1,10.0
echo heron,1,10.0
brian kaufman,1,10.0
mark bittman,3,10.0
ruth minsky sender,1,10.0
marissa moss,1,10.0
candace irvin,2,10.0
robert penn warren,1,10.0
debra kent,1,10.0
caroline kennedy,1,10.0
debra mullins,1,10.0
michael wallis,3,10.0
denise roy,2,10.0
dennis j . kucinich,2,10.0
richard marcinko,1,10.0
dennis smith,1,10.0
derek hansen,1,10.0
caroll spinney,1,10.0
diane c . arkins,4,10.0
caroline myss,3,10.0
caroline burnes,1,10.0
doreen virtue,1,10.0
micah sparks,2,10.0
dick king - smith,1,10.0
mem fox,2,10.0
robert conklin,1,10.0
robert dallek,1,10.0
mel bartholomew,1,10.0
robert inman,1,10.0
maud h . lovelace,5,10.0
matthew reilly,1,10.0
doreen cronin,1,10.0
"joseph j . , jr bannon",1,10.0
lisa rojany,2,10.0
jack handey,3,10.0
william safire,2,10.0
"john the penguin"" bingham""",1,10.0
jill paton walsh,1,10.0
jill murphy,1,10.0
j . r . r tolkien,2,10.0
alcoholics anonymous,1,10.0
jack prelutsky,1,10.0
jon katz,2,10.0
jackie fischer,1,10.0
jennifer armstrong,1,10.0
jenkins,1,10.0
jon land,1,10.0
james bryan smith,3,10.0
james c . dobson,1,10.0
william h . armstrong,1,10.0
james gurney,1,10.0
john stossel,1,10.0
walter farley,2,10.0
john shelby spong ( author ),1,10.0
john b . lust,3,10.0
amanda lollar,1,10.0
valerie ann worwood,3,10.0
hugh maclennan,2,10.0
huston curtiss,2,10.0
ian falconer,2,10.0
john mcphee,1,10.0
troll books,1,10.0
jim craddock,2,10.0
joe simpson,1,10.0
joanna stratton,1,10.0
joan lindsay,1,10.0
john r . lee,1,10.0
j . e . a . tyler,1,10.0
alfred andersch,1,10.0
jon winokur,2,10.0
howard mohr,2,10.0
james m . citrin,2,10.0
jared m . diamond,1,10.0
tony abbott,2,10.0
adele ashworth,1,10.0
adele faber,1,10.0
tom kuntz,1,10.0
hauptman,1,10.0
janet ahlberg,2,10.0
helen hooven santmyer,1,10.0
javan,1,10.0
yoshiyuki sadamoto,1,10.0
janell cannon,1,10.0
william zinsser,1,10.0
maurice sendak,7,9.857142857142858
jon stone,6,9.833333333333334
celia brooks brown,5,9.8
minne,4,9.75
jane goodall,4,9.75
jon scieszka,4,9.75
antonia barber,4,9.75
fred rogers,4,9.75
andrew carroll,4,9.75
c . s lewis,4,9.75
hope edelman,4,9.75
pema chodron,4,9.75
kevyn aucoin,7,9.714285714285714
benedict freedman,3,9.666666666666666
barbara dunlop,3,9.666666666666666
dennis hensley,6,9.666666666666666
brothers hildebrandt,6,9.666666666666666
elsa osorio,3,9.666666666666666
shirley rousseau murphy,6,9.666666666666666
john eldredge,3,9.666666666666666
marion rombauer becker,3,9.666666666666666
diane chamberlain,6,9.666666666666666
robert munsch,3,9.666666666666666
dawn j . ranck,6,9.666666666666666
carlos castillo,3,9.666666666666666
ellen porath,3,9.666666666666666
peter abrams,6,9.666666666666666
chandler s . robbins,3,9.666666666666666
steve bennett,3,9.666666666666666
janet chapman,3,9.666666666666666
omar k . ravenhurst,3,9.666666666666666
rick kirkman,8,9.625
cynthia rutledge,5,9.6
merriam - webster,5,9.6
harriet lerner,5,9.6
frederick douglass,5,9.6
larcenet,5,9.6
new skete monks,5,9.6
jacques barzun,5,9.6
dorothy morrison,5,9.6
richard george adams,7,9.571428571428571
david james duncan,7,9.571428571428571
dalton trumbo,9,9.555555555555555
loretta lynn,2,9.5
unknown unknown,2,9.5
lorrie moore,2,9.5
sheri whitefeather,2,9.5
lois lenski,2,9.5
victor e . villasenor,2,9.5
simon brett,2,9.5
pam young,4,9.5
laura dower,2,9.5
paula danziger,4,9.5
stan wiater,2,9.5
leslie kelly,2,9.5
various,2,9.5
barbara milo ohrbach,2,9.5
lennart nilsson,2,9.5
barbara g . walker,2,9.5
irving stone,6,9.5
stephen w . hines,2,9.5
almudena grandes,2,9.5
steven piziks,2,9.5
hubert selby jr,2,9.5
william sears,4,9.5
edmond rostand,4,9.5
m . william phelps,2,9.5
david halberstam,2,9.5
dorothy parker,6,9.5
unai elorriaga,2,9.5
dorothy law nolte,4,9.5
jerry scott,2,9.5
robin behn,2,9.5
jerome lawrence,2,9.5
chogyam trungpa,2,9.5
robert crowther,2,9.5
jeffrey steingarten,2,9.5
sarah graves,2,9.5
robert anton wilson,2,9.5
michael baden,2,9.5
richard scarry,2,9.5
william strunk jr,4,9.5
catherine spangler,2,9.5
miguel de unamuno,2,9.5
dc talk,4,9.5
celeste de blasis,2,9.5
martin luther king,2,9.5
"e . d . , jr . hirsch",2,9.5
jill mansell,2,9.5
wen spencer,2,9.5
sarah - kate lynch,2,9.5
sara henderson,4,9.5
maggie o'farrell,2,9.5
marcel beyer,2,9.5
andrew clements,2,9.5
sam mcbratney,2,9.5
bob walker,2,9.5
elaine barbieri,2,9.5
boston women's health book collective,4,9.5
edward ball,2,9.5
reay tannahill,2,9.5
james r . lewis,4,9.5
james morrow,4,9.5
janisse ray,2,9.5
"pickles""""",2,9.5
david attenborough,2,9.5
rose tremain,2,9.5
tom hegg,2,9.5
samantha james,2,9.5
ted hughes,2,9.5
time life books,2,9.5
torey l . hayden,2,9.5
glen cook,2,9.5
tony diterlizzi,6,9.5
susan trott,4,9.5
terri blackstock,2,9.5
h . c . andersen,2,9.5
kim harrison,2,9.5
john r . sussman,4,9.5
katherine applegate,2,9.5
judy reeves,2,9.5
kate coscarelli,2,9.5
kirsten holm,4,9.5
kate dicamillo,4,9.5
tariq ali,2,9.5
toni weschler,4,9.5
tschingis aitmatow,4,9.5
tony kushner,4,9.5
anne mazer,2,9.5
maud hart lovelace,19,9.473684210526315
lynn gordon,13,9.461538461538462
joanne k . rowling,18,9.444444444444445
e . lynn harris,7,9.428571428571429
dr seuss,24,9.416666666666666
shel silverstein,53,9.415094339622641
amanda stevens,5,9.4
stuart mclean,5,9.4
camron wright,5,9.4
elsa holmelund minarik,5,9.4
neil peart,5,9.4
"h . jackson , jr . brown",8,9.375
dr . seuss,73,9.356164383561644
darrell scott,3,9.333333333333334
wladyslaw szpilman,3,9.333333333333334
not applicable ( na ),12,9.333333333333334
seuss,9,9.333333333333334
spy magazine,3,9.333333333333334
c . j cherryh,3,9.333333333333334
dave ramsey,3,9.333333333333334
julie anne peters,3,9.333333333333334
rebecca gable,3,9.333333333333334
life magazine,3,9.333333333333334
natsuo kirino,3,9.333333333333334
stephanie oberall,3,9.333333333333334
cheryl peck,6,9.333333333333334
nadolny,3,9.333333333333334
adrienne rich,3,9.333333333333334
julia butterfly hill,3,9.333333333333334
scott card orson,12,9.333333333333334
bill martin jr,3,9.333333333333334
spike walker,3,9.333333333333334
william j . kennedy,3,9.333333333333334
oscar hijuelos,3,9.333333333333334
patricia t . o'conner,3,9.333333333333334
katharine t . alvord,3,9.333333333333334
roz levine,3,9.333333333333334
mark canter,3,9.333333333333334
jill marie landis,3,9.333333333333334
maryanne vollers,3,9.333333333333334
george selden,3,9.333333333333334
grace llewellyn,6,9.333333333333334
robbins,3,9.333333333333334
bob phillips,3,9.333333333333334
marguerite yourcenar,3,9.333333333333334
mara leveritt,6,9.333333333333334
bill watterson,159,9.314465408805031
art spiegelman,20,9.3
crockett johnson,7,9.285714285714286
jim morrison,7,9.285714285714286
barbara robinson,7,9.285714285714286
ruth picardie,7,9.285714285714286
julie campbell,4,9.25
scott dikkers,4,9.25
roxanne henke,4,9.25
tim mikkelsen,4,9.25
lydia millet,4,9.25
lyda morehouse,4,9.25
dbc pierre,4,9.25
marjane satrapi,8,9.25
masashi tanaka,4,9.25
robert frost,8,9.25
babette cole,4,9.25
s . j . gaither,4,9.25
elizabeth coatsworth,8,9.25
dennis miller,4,9.25
patrick mcdonnell,4,9.25
margaret wise brown,17,9.235294117647058
antoine de saint - exupery,77,9.233766233766234
frances h . burnett,5,9.2
stephen mitchell,5,9.2
robert n . munsch,10,9.2
anhua gao,5,9.2
paul fleischman,5,9.2
leslie feinberg,5,9.2
peter singer,5,9.2
marilyn wann,5,9.2
marya hornbacher,5,9.2
elizabeth barrett browning,5,9.2
wilbur a . smith,11,9.181818181818182
john hersey,11,9.181818181818182
wilson rawls,22,9.181818181818182
illona linthwaite,6,9.166666666666666
alison kent,6,9.166666666666666
quino,6,9.166666666666666
margery williams,6,9.166666666666666
randy shilts,6,9.166666666666666
graham joyce,6,9.166666666666666
rita golden gelman,12,9.166666666666666
helene hanff,26,9.153846153846153
harper lee,102,9.147058823529411
jeff foxworthy,7,9.142857142857142
william j . bennett,7,9.142857142857142
philip d . eastman,7,9.142857142857142
joseph gibaldi,8,9.125
brian froud,8,9.125
martha sears,8,9.125
anne frank,50,9.12
norton juster,17,9.117647058823529
dorothea benton frank,10,9.1
vernor vinge,10,9.1
susan krinard,13,9.076923076923077
pablo neruda,13,9.076923076923077
robin mckinley,43,9.069767441860465
jim butcher,15,9.066666666666666
juliet marillier,16,9.0625
j . k . rowling,691,9.060781476121562
j . r . r . tolkien,420,9.033333333333333
pelham grenville wodehouse,1,9.0
goldman,3,9.0
karin cook,2,9.0
james c . hunter,1,9.0
dinty w . moore,2,9.0
diane baker mason,1,9.0
carol emshwiller,1,9.0
temple grandin,2,9.0
zachary alan fox,1,9.0
patricia maclachlan,3,9.0
michael farquhar,1,9.0
peggy vincent,2,9.0
peggy rathmann,3,9.0
jennifer niederst,1,9.0
robert fitzgerald,1,9.0
terah kathryn collins,2,9.0
graham chapman,1,9.0
james baldwin,6,9.0
penelope williamson,1,9.0
marti olsen laney,1,9.0
diane ravitch,3,9.0
michael berg,1,9.0
conari press,6,9.0
tara taylor quinn,1,9.0
yvette melanson,1,9.0
mary jane auch,1,9.0
jeffrey lang,6,9.0
pete davies,2,9.0
patricia mc killip,3,9.0
michael datcher,1,9.0
patrick white,1,9.0
maxence fermine,3,9.0
jane stanton hitchcock,1,9.0
james burke,3,9.0
mervyn peake,1,9.0
anne cameron,3,9.0
dan elliott,1,9.0
tolkien,1,9.0
jerry mander,3,9.0
robert wright,3,9.0
joseph campbell,8,9.0
jack zipes,3,9.0
pamela duncan,4,9.0
cynthia heimel,2,9.0
dori sanders,1,9.0
jack welch,2,9.0
timothy mikkelsen,1,9.0
glade b . curtis m . d . ob / gyn,5,9.0
jane isenberg,1,9.0
mary packard,2,9.0
robert siegel,4,9.0
cokie roberts,1,9.0
albert - laszlo barabasi,1,9.0
mary s . lovell,1,9.0
pamela dean,3,9.0
robert mendelsohn,2,9.0
calvino,2,9.0
giuseppe tomasi di lampedusa,2,9.0
albert b . facey,2,9.0
zlata filipovic,2,9.0
robert hughes,1,9.0
oscar williams,6,9.0
gloria mallette,1,9.0
donald m . vickery,2,9.0
glen gold,4,9.0
robert k . ressler,3,9.0
cyndi hayes,2,9.0
jon hassler,2,9.0
yukio mishima,4,9.0
matthew kneale,2,9.0
james welch,1,9.0
a . e . w . mason,2,9.0
jonathan rabb,3,9.0
carolyn haines,4,9.0
david anson russo,3,9.0
andi watson,3,9.0
jaqueline girdner,1,9.0
nancy mckenzie,4,9.0
rainer maria rilke,7,9.0
jan merrill,1,9.0
hampton sides,3,9.0
charlotte allen,1,9.0
ralph helfer,1,9.0
ralph nader,2,9.0
yasmine galenorn,1,9.0
halldor laxness,1,9.0
philip caputo,3,9.0
"charlotte sophia , phd . kasl",2,9.0
nikos kazantzakis,5,9.0
christoph brookmyre,1,9.0
harold kushner,2,9.0
darby conley,12,9.0
danzy senna,3,9.0
reader's digest,4,9.0
jean anouilh,4,9.0
norman juster,1,9.0
norman weinberger,5,9.0
judith viorst,1,9.0
william wharton,3,9.0
molly wigand,1,9.0
price pritchett,1,9.0
thornton wilder,6,9.0
chris rock,1,9.0
hari kunzru,1,9.0
chris hedges,3,9.0
harmonious technologies,3,9.0
thor heyerdahl,1,9.0
judith o'brien,1,9.0
chris bunch,1,9.0
chris a . bohjalian,2,9.0
primo levi,5,9.0
judith thurman,1,9.0
tim downs,1,9.0
queen noor,1,9.0
nawal el saadawi,1,9.0
dave gorman,6,9.0
janina renee,2,9.0
david feintuch,4,9.0
r . f . symes,1,9.0
naomi kritzer,2,9.0
r . queneau,3,9.0
agota kristof,4,9.0
james hillman,2,9.0
michael hoeye,7,9.0
dana reeve,2,9.0
deborah werksman,1,9.0
michel quint,1,9.0
jeanie london,5,9.0
richard brautigan,1,9.0
michael norman,4,9.0
james tate,1,9.0
michael mcclelland,1,9.0
k . c . mckinnon,4,9.0
richard l . miller,3,9.0
jeff guinn,1,9.0
gretel ehrlich,1,9.0
dennis l . mckiernan,2,9.0
christa von bernuth,1,9.0
carolyn see,2,9.0
chuck musciano,2,9.0
alan brown,1,9.0
carolyn meyer,4,9.0
carolyn lampman,2,9.0
dana f . ross,1,9.0
andrew solomon,1,9.0
richard b . wright,1,9.0
deborah spungen,2,9.0
regina mcbride,2,9.0
jean hanff korelitz,3,9.0
danielle crittenden,1,9.0
ai yazawa,2,9.0
janet wallach,1,9.0
daniel jonah goldhagen,1,9.0
jean giraudoux,2,9.0
julie smith,2,9.0
celia bland,1,9.0
celeste bradley,1,9.0
"thomas , sir malory",2,9.0
thich nhat hanh,8,9.0
michelle magorian,1,9.0
ntozake shange,1,9.0
thich nhat hahn,5,9.0
o . henry,2,9.0
william knowlton zinsser,3,9.0
riane eisler,2,9.0
tim farrington,2,9.0
a . sewell,1,9.0
deborah howe,4,9.0
octavia butler,5,9.0
martha williamson,1,9.0
dr . ruth k . westheimer,1,9.0
barbara cooney,1,9.0
ellen kushner,2,9.0
lawrence durrell,2,9.0
elizabeth thornton,1,9.0
luigi pirandello,1,9.0
joan clark,2,9.0
kien nguyen,2,9.0
arielle ford,2,9.0
susanna kearsley,7,9.0
flora rheta schreiber,3,9.0
ellen gilchrist,10,9.0
virginia lee burton,1,9.0
francis hodgson burnett,1,9.0
shane weller,1,9.0
flora rheta . schreiber,2,9.0
flora r schreiber,1,9.0
louise voss,3,9.0
martha powers,2,9.0
bertice berry,1,9.0
louise rafkin,1,9.0
louise perrotta,1,9.0
sheila burnford,2,9.0
lynda s . robinson,1,9.0
kymythy schultze,1,9.0
isabel fonseca,4,9.0
beverly jenkins,2,9.0
suzanne o'malley,1,9.0
l . f . baum,1,9.0
sara gruen,2,9.0
barbara bush,1,9.0
suzanne barclay,2,9.0
erskine childers,1,9.0
gene weingarten,1,9.0
elizabeth castro,4,9.0
john peterson,2,9.0
steve almond,1,9.0
jim thompson,6,9.0
frances kuffel,1,9.0
lilian moore,5,9.0
m . hover,2,9.0
john fitzgerald,3,9.0
john lescroart,3,9.0
elizabeth hess,1,9.0
hugh prather,2,9.0
jimmy stewart,3,9.0
lawrence weschler,2,9.0
shelley tanaka,2,9.0
barbara w . tuchman,1,9.0
erik c . haugaard,1,9.0
gary kinder,3,9.0
gary snyder,1,9.0
johanna reiss,1,9.0
linda ellerbee,1,9.0
barbara shapiro,1,9.0
alicia appleman - jurman,2,9.0
viqui litman,1,9.0
kirk douglas,1,9.0
lisa belkin,1,9.0
bell hooks,2,9.0
john barnes,2,9.0
american psychological association,3,9.0
slavomir rawicz,1,9.0
john bayley,1,9.0
viktor e . frankl,4,9.0
bbc,2,9.0
stephen briggs,2,9.0
sophy burnham,1,9.0
john christopher,1,9.0
erik orsenna,10,9.0
antwone fisher,2,9.0
lesley krueger,1,9.0
lisa wingate,4,9.0
stephen j . cannell,2,9.0
bernard shaw,1,9.0
anton pavlovich chekhov,1,9.0
kubler elisabeth ross,1,9.0
emily hendrickson,2,9.0
susan straight,1,9.0
kristiane allert - wybranietz,2,9.0
bernard goldberg,3,9.0
antonie de saint,2,9.0
leon lederman,2,9.0
virginia deberry,1,9.0
allan zola kronzek,2,9.0
berhard schlink,3,9.0
liz neporent,2,9.0
eric sanvoisin,3,9.0
liz berry,1,9.0
barry hughart,3,9.0
john ortberg,1,9.0
leora tanenbaum,2,9.0
valerie tripp,3,9.0
bartholomew gill,1,9.0
brennan manning,4,9.0
studs terkel,1,9.0
bret mathew funk,1,9.0
friedric durrenmatt,1,9.0
ruth yaron,3,9.0
marion dane bauer,1,9.0
atul gawande,5,9.0
la leche league international,1,9.0
bill hayes,1,9.0
editors prevention health books,4,9.0
bryce courtenay,13,9.0
brenda novak,1,9.0
audrey wood,3,9.0
kathryn m . drennan,4,9.0
alessandro boffa,2,9.0
edward albee,4,9.0
gina bari kolata,2,9.0
stanley karnow,1,9.0
fred mustard stewart,2,9.0
george takei,3,9.0
ji - li jiang,2,9.0
howard dean,3,9.0
"henry , dr . cloud",1,9.0
mark d . sanders,2,9.0
alex matthews,2,9.0
fretta reitzes,3,9.0
brother lawrence,1,9.0
wayne w . dyer,2,9.0
roy lewis,3,9.0
mark burnett,3,9.0
alex haley,9,9.0
brian daley,2,9.0
"wayne w . , dr . dyer",2,9.0
frederick kohner,1,9.0
mark bricklin,1,9.0
russell hoban,1,9.0
takayuki ishii,1,9.0
marjorie klein,3,9.0
henry kissinger,1,9.0
tananarive due,2,9.0
bruce lansky,3,9.0
jim dodge,4,9.0
susan fletcher,1,9.0
laura joffe numeroff,4,9.0
marcia talley,2,9.0
sanami matoh,1,9.0
roger fouts,2,9.0
frank conroy,1,9.0
uwe timm,1,9.0
billy graham,2,9.0
billy collins,7,9.0
laura moriarty,3,9.0
tsitsi dangarembga,2,9.0
marcia clark,2,9.0
lauren bacall,4,9.0
steven callahan,2,9.0
eugen herrigel,2,9.0
john ronald reuel tolkien,1,9.0
alfred lansing,3,9.0
malcolm gladwell,11,9.0
howard halpern,1,9.0
trezza azzopardi,2,9.0
elaine martin,2,9.0
arthur w . bahr,1,9.0
s . wise bauer,3,9.0
dudley fitts,4,9.0
"stanley , m . d . turecki",1,9.0
walt disney,7,9.0
boris akunin,1,9.0
edward st . john gorey,2,9.0
laura klotz,1,9.0
bonnie burnard,2,9.0
george perec,2,9.0
sydney taylor,1,9.0
g . a . mckevett,1,9.0
gary braver,1,9.0
marsha canham,3,9.0
kay chorao,2,9.0
malcolm x,13,9.0
lois lowry,37,8.972972972972974
sherrilyn kenyon,36,8.972222222222221
e . l . konigsburg,21,8.952380952380953
e . b . white,48,8.9375
joanne fluke,14,8.928571428571429
nick bantock,54,8.925925925925926
robert c . o'brien,11,8.909090909090908
carlo lucarelli,11,8.909090909090908
marianne williamson,11,8.909090909090908
sark,48,8.895833333333334
kinley macgregor,9,8.88888888888889
lucy maud montgomery,9,8.88888888888889
l . m . montgomery,120,8.883333333333333
tanith lee,8,8.875
keri hulme,8,8.875
audrey niffenegger,32,8.875
elizabeth mccracken,16,8.875
j r r tolkien,8,8.875
judith reeves - stevens,7,8.857142857142858
w . somerset maugham,14,8.857142857142858
"james f . , md . balch",7,8.857142857142858
richard dawkins,7,8.857142857142858
sharon creech,7,8.857142857142858
ellen raskin,14,8.857142857142858
carlos ruiz zafon,21,8.857142857142858
adams,7,8.857142857142858
lloyd alexander,26,8.846153846153847
mary roach,13,8.846153846153847
louise taylor,6,8.833333333333334
norman maclean,6,8.833333333333334
plato,6,8.833333333333334
erika lopez,6,8.833333333333334
david schickler,6,8.833333333333334
lee child,12,8.833333333333334
didier van cauwelaert,6,8.833333333333334
lewis carroll,34,8.823529411764707
margaret mitchell,17,8.823529411764707
hunter s . thompson,17,8.823529411764707
william styron,11,8.818181818181818
frances hodgson burnett,31,8.806451612903226
diana gabaldon,166,8.801204819277109
peter robinson,5,8.8
arnauld pontier,5,8.8
friedrich durrenmatt,5,8.8
robin wells,5,8.8
arthur koestler,5,8.8
annette curtis klause,5,8.8
jack finney,10,8.8
philippe delerm,5,8.8
maggie osborne,5,8.8
kahlil gibran,10,8.8
greg palast,5,8.8
suzy becker,15,8.8
lynne hinton,5,8.8
betty smith,15,8.8
cecily von ziegesar,5,8.8
gavin de becker,10,8.8
beryl markham,5,8.8
marilyn french,5,8.8
s . w . hawking,5,8.8
charles lutwidge dodgson,5,8.8
paul vincent,19,8.789473684210526
jhumpa lahiri,33,8.787878787878787
tamara thorne,14,8.785714285714286
vikram seth,14,8.785714285714286
elie wiesel,23,8.782608695652174
mildred d . taylor,9,8.777777777777779
chinua achebe,18,8.777777777777779
howard zinn,9,8.777777777777779
sarah l . delany,9,8.777777777777779
ralph ellison,13,8.76923076923077
frederic bastiat,4,8.75
jamie denton,4,8.75
john howard griffin,4,8.75
s . beckett,4,8.75
richard zacks,4,8.75
j . o'barr,4,8.75
peggy parish,4,8.75
jerome klapka jerome,4,8.75
carlene thompson,4,8.75
trevanian,8,8.75
amanda eyre ward,4,8.75
cassandra king,4,8.75
bill willingham,4,8.75
lorenzo silva,4,8.75
martha hopkins,4,8.75
sten nadolny,8,8.75
philippe djian,4,8.75
john champlin gardner,8,8.75
henri de la barbe,8,8.75
ben cohen,4,8.75
zora neale hurston,32,8.75
joe trippi,4,8.75
julia cameron,8,8.75
michael lee west,8,8.75
william r . maples,4,8.75
jayne castle,4,8.75
mollie katzen,4,8.75
elizabeth haydon,8,8.75
catherine gildiner,4,8.75
william jr . strunk,4,8.75
cameron west,4,8.75
gregory j . p . godek,4,8.75
e m forster,4,8.75
william goldman,38,8.736842105263158
max lucado,11,8.727272727272727
margot livesey,11,8.727272727272727
grant naylor,21,8.714285714285714
josephine tey,7,8.714285714285714
little golden staff,7,8.714285714285714
nevil shute,7,8.714285714285714
gary chapman,7,8.714285714285714
homer hickam,7,8.714285714285714
nancy k . peske,7,8.714285714285714
shirley jackson,14,8.714285714285714
zilpha keatley snyder,7,8.714285714285714
tove jansson,7,8.714285714285714
sir arthur conan doyle,7,8.714285714285714
shannon drake,24,8.708333333333334
running press,10,8.7
rick warren,10,8.7
lynn kurland,10,8.7
jacqueline carey,23,8.695652173913043
else holmelund minarik,13,8.692307692307692
phil mcgraw,19,8.68421052631579
lewis,3,8.666666666666666
barbara winter,3,8.666666666666666
tony wheeler,3,8.666666666666666
nelson erlick,3,8.666666666666666
helen keller,3,8.666666666666666
ethan black,3,8.666666666666666
f . batmanhelidj,3,8.666666666666666
nice rodriguez,3,8.666666666666666
christina bartolomeo,3,8.666666666666666
dave longaberger,3,8.666666666666666
jonathan carroll,12,8.666666666666666
mariama ba,3,8.666666666666666
donna morrissey,3,8.666666666666666
robin klein,3,8.666666666666666
ingrid betancourt,3,8.666666666666666
ingrid newkirk,3,8.666666666666666
sheryl lynn,3,8.666666666666666
phil jackson,3,8.666666666666666
irene hunt,3,8.666666666666666
vito russo,3,8.666666666666666
emilie rose,3,8.666666666666666
joan didion,3,8.666666666666666
martha sacks,6,8.666666666666666
peter hessler,3,8.666666666666666
isobelle carmody,3,8.666666666666666
bernice morgan,3,8.666666666666666
f . scott fritzgerald,6,8.666666666666666
stephen chbosky,12,8.666666666666666
dani shapiro,3,8.666666666666666
anne moody,3,8.666666666666666
karl marx,3,8.666666666666666
garth nix,12,8.666666666666666
diana abu - jaber,3,8.666666666666666
april henry,3,8.666666666666666
richard a . wright,3,8.666666666666666
susan polis schutz,3,8.666666666666666
richard morgan,3,8.666666666666666
"arthur conan , sir doyle",12,8.666666666666666
katrina kenison,3,8.666666666666666
deirdre martin,3,8.666666666666666
george monbiot,3,8.666666666666666
