,User-ID,User-City,User-Country,User-Age
23916,137686,adelaide," australia""",55.0
11132,64052,adelaide," australia""",57.0
32039,184934,adelaide," australia""",59.0
32807,189844,adelaide," australia""",60.0
33607,194500,adelaide," australia""",60.0
41738,241191,adelaide," australia""",63.0
19816,114757,adelaide," australia""",67.0
12644,72687,adelaide," australia""",70.0
7731,44488,adelaide," australia""",73.0
1313,7721,adelaide," australia""",
2264,13995,adelaide," australia""",
3229,20032,adelaide," australia""",
9342,54070,adelaide," australia""",
13714,79092,adelaide," australia""",
14492,83579,adelaide," australia""",
16506,95261,adelaide," australia""",
18959,109955,adelaide," australia""",
24048,138429,adelaide," australia""",
30502,175815,adelaide," australia""",
31379,180957,adelaide," australia""",
34427,199662,adelaide," australia""",
35293,204949,adelaide," australia""",
36274,209669,adelaide," australia""",
37470,216882,adelaide," australia""",
38427,222716,adelaide," australia""",
40323,233409,adelaide," australia""",
43964,253304,adelaide," australia""",
44307,255421,adelaide," australia""",
45076,259762,adelaide," australia""",
15286,88352,adelaide/mile end," australia""",
44813,258233,aitkenvale," australia""",25.0
31295,180447,albury," australia""",29.0
42358,244470,albury," australia""",29.0
1029,6252,albury," australia""",32.0
17178,99227,albury," australia""",
18004,104303,albury," australia""",
2202,13648,alice springs," australia""",
13498,77808,alice springs," australia""",
23009,132525,alice springs," australia""",
23851,137277,ardross," australia""",26.0
8176,47239,ascot," australia""",23.0
15129,87491,ascot park," australia""",13.0
24221,139294,ashburton," australia""",57.0
4088,24702,ashfield," australia""",33.0
31056,178895,aspendale," australia""",30.0
40013,231657,atherton," australia""",
7680,44183,austinmer," australia""",16.0
34903,202664,balga," australia""",58.0
9295,53729,balingup," australia""",
46143,266474,ballarat," australia""",45.0
25146,144647,ballarat," australia""",
42471,244998,balmain," australia""",36.0
11873,68067,balmain," australia""",54.0
20429,117988,bassendean," australia""",30.0
26769,153892,bathurst," australia""",29.0
6331,36718,bayswater," australia""",25.0
42006,242616,bayswater," australia""",40.0
47245,272462,beachmere," australia""",
10844,62339,beaufort," australia""",
40028,231768,beerwah," australia""",19.0
29397,169814,belgrave," australia""",40.0
9176,53132,bellthorpe," australia""",
39255,227262,bendigo," australia""",18.0
5781,33697,bendigo," australia""",34.0
10974,63096,bendigo," australia""",40.0
31660,182676,bendigo," australia""",43.0
40831,236313,bendigo," australia""",45.0
5996,34997,bendigo," australia""",50.0
29782,171869,berkeley vale," australia""",60.0
38661,223831,berwick," australia""",30.0
30545,176062,bickley," australia""",37.0
12653,72735,birchgrove," australia""",67.0
32901,190441,blackallas park," australia""",35.0
37523,217164,blackheath," australia""",55.0
13613,78522,bli bli," australia""",
30692,176921,bluewater," australia""",27.0
38018,220324,bowral," australia""",14.0
13358,77038,box hill," australia""",26.0
28840,166761,box hill," australia""",42.0
766,4539,box hill," australia""",44.0
10215,58834,box hill north," australia""",56.0
4964,29768,brisbane," australia""",20.0
38358,222341,brisbane," australia""",23.0
42248,243948,brisbane," australia""",23.0
5865,34205,brisbane," australia""",25.0
1909,11711,brisbane," australia""",26.0
15599,90286,brisbane," australia""",26.0
31203,179799,brisbane," australia""",26.0
40737,235839,brisbane," australia""",26.0
4818,28824,brisbane," australia""",28.0
5867,34215,brisbane," australia""",28.0
41987,242515,brisbane," australia""",28.0
28780,166399,brisbane," australia""",29.0
7442,42902,brisbane," australia""",30.0
38736,224220,brisbane," australia""",30.0
2167,13339,brisbane," australia""",31.0
5864,34196,brisbane," australia""",31.0
28933,167403,brisbane," australia""",31.0
32444,187708,brisbane," australia""",31.0
12656,72770,brisbane," australia""",32.0
38411,222646,brisbane," australia""",32.0
48297,278852,brisbane," australia""",32.0
14276,82538,brisbane," australia""",34.0
41247,238554,brisbane," australia""",34.0
5874,34231,brisbane," australia""",35.0
13843,79952,brisbane," australia""",35.0
39215,227021,brisbane," australia""",35.0
43413,250379,brisbane," australia""",35.0
6564,37905,brisbane," australia""",37.0
40430,233889,brisbane," australia""",37.0
29353,169582,brisbane," australia""",39.0
30660,176740,brisbane," australia""",41.0
37849,219185,brisbane," australia""",42.0
35295,204959,brisbane," australia""",45.0
5889,34349,brisbane," australia""",48.0
19368,112401,brisbane," australia""",49.0
13798,79716,brisbane," australia""",50.0
14635,84606,brisbane," australia""",73.0
4327,26128,brisbane," australia""",
16562,95510,brisbane," australia""",
17954,104059,brisbane," australia""",
20190,116675,brisbane," australia""",
26326,151415,brisbane," australia""",
27393,157966,brisbane," australia""",
32352,187115,brisbane," australia""",
35718,207291,brisbane," australia""",
36177,209200,brisbane," australia""",
38037,220435,brisbane," australia""",
46818,269879,brisbane," australia""",
35077,203770,brisbane australia," australia""",48.0
44406,255984,broken hill," australia""",45.0
36610,211694,brookvale," australia""",60.0
1554,9281,brunswick west," australia""",20.0
12197,69944,buderim," australia""",50.0
33195,192172,bunbury," australia""",
38528,223224,bundaberg," australia""",24.0
15973,92659,burnley," australia""",26.0
8823,51247,burradoo," australia""",81.0
40825,236296,burradoo," australia""",
12997,74825,burragate," australia""",38.0
3863,23529,burraneer," australia""",38.0
33069,191521,busselton," australia""",
47106,271488,byron bay," australia""",29.0
9040,52401,byron bay," australia""",54.0
46910,270360,caboolture," australia""",31.0
33119,191766,cairns," australia""",22.0
16097,93334,cairns," australia""",33.0
35816,207774,cairns," australia""",42.0
15446,89320,cairns," australia""",60.0
17934,103946,caloundra," australia""",19.0
1723,10594,camberwell," australia""",57.0
12615,72424,camberwell," australia""",58.0
28289,163401,camden," australia""",18.0
47341,273212,campbells creek," australia""",30.0
36814,213043,camperdown," australia""",
34109,197792,canberra," australia""",7.0
35329,205153,canberra," australia""",11.0
33627,194579,canberra," australia""",13.0
19974,115643,canberra," australia""",14.0
37364,216291,canberra," australia""",16.0
38159,221133,canberra," australia""",22.0
28571,165078,canberra," australia""",24.0
24405,140324,canberra," australia""",26.0
37522,217159,canberra," australia""",26.0
42940,247763,canberra," australia""",29.0
44122,254249,canberra," australia""",31.0
7134,41198,canberra," australia""",33.0
23893,137524,canberra," australia""",33.0
5462,31950,canberra," australia""",34.0
25803,148226,canberra," australia""",34.0
36250,209546,canberra," australia""",34.0
48177,278218,canberra," australia""",37.0
5596,32652,canberra," australia""",44.0
40051,231857,canberra," australia""",46.0
32785,189706,canberra," australia""",47.0
41346,239014,canberra," australia""",48.0
19866,115006,canberra," australia""",55.0
41772,241407,canberra," australia""",55.0
30171,174081,canberra," australia""",63.0
21569,124708,canberra," australia""",65.0
2004,12433,canberra," australia""",
3497,21462,canberra," australia""",
3603,22012,canberra," australia""",
16503,95251,canberra," australia""",
17237,99623,canberra," australia""",
26902,154698,canberra," australia""",
27395,157991,canberra," australia""",
31701,183016,canberra," australia""",
36187,209257,canberra," australia""",
37838,219087,canberra," australia""",
38452,222838,canberra," australia""",
47643,275188,canberra," australia""",
40649,235246,candelo," australia""",30.0
36762,212758,canning vale," australia""",37.0
46094,266146,carlton north," australia""",31.0
47759,275908,charing cross," australia""",44.0
40816,236251,chelmer," australia""",18.0
19861,114983,chelmer," australia""",21.0
1283,7526,chelsea," australia""",33.0
24439,140604,chewton," australia""",
8642,50177,cincinnati," australia""",
12394,71179,clayton," australia""",59.0
9091,52676,clematis," australia""",48.0
16361,94547,clifton hill," australia""",23.0
39978,231449,cobar," australia""",
5922,34566,cobargo," australia""",51.0
2621,16161,cobram," australia""",28.0
46567,268613,cobram," australia""",34.0
34253,198620,coburg," australia""",35.0
11448,65665,coffs harbour," australia""",40.0
30169,174077,coffs harbour," australia""",51.0
34342,199175,colac," australia""",17.0
26856,154399,collingwood," australia""",65.0
1950,12122,cooks hill," australia""",26.0
7365,42400,corinella," australia""",
10097,58202,craigieburn," australia""",25.0
44651,257211,cranbourne," australia""",24.0
20256,117124,cranbrook," australia""",33.0
41484,239788,croydon," australia""",33.0
19838,114865,croydon," australia""",97.0
21467,124170,croydon," australia""",
3353,20767,croydon park," australia""",35.0
46397,267727,dapto," australia""",14.0
20498,118434,darwin," australia""",23.0
35283,204907,darwin," australia""",35.0
37772,218676,darwin," australia""",48.0
28979,167646,darwin," australia""",56.0
46549,268523,daylesford," australia""",
42854,247201,derby," australia""",
45259,260907,dernancourt," australia""",50.0
19258,111604,devonport," australia""",
45633,263259,doncaster east," australia""",16.0
18949,109896,donvale," australia""",22.0
1832,11315,doonside," australia""",
39975,231432,downer," australia""",23.0
11889,68178,dromana," australia""",
29170,168672,dubbo," australia""",27.0
46259,267053,dubbo," australia""",36.0
27570,159050,dulwich hill," australia""",19.0
44857,258520,dulwich hill," australia""",36.0
45660,263445,east brunswick," australia""",32.0
3080,19015,east melbourne," australia""",
429,2414,edenhope," australia""",
15654,90669,edinburgh," australia""",
1672,10199,eltham," australia""",17.0
36001,208478,emerald," australia""",55.0
8377,48474,erina," australia""",32.0
19843,114877,erina," australia""",
14327,82808,erskineville," australia""",24.0
37578,217492,erskineville," australia""",35.0
12518,71822,essendon," australia""",47.0
30083,173577,fairfield," australia""",
35664,207000,fairfield," australia""",
12062,69089,fairlight," australia""",28.0
47606,274926,fairy meadow," australia""",45.0
4757,28494,fern tree," australia""",55.0
27609,159345,fitzroy," australia""",46.0
10610,60895,flemington," australia""",61.0
41185,238189,florey," australia""",25.0
21903,126515,footscray," australia""",23.0
35980,208393,footscray," australia""",35.0
26860,154423,forrestfield," australia""",52.0
31917,184203,forster," australia""",57.0
45692,263627,fortitude valley," australia""",23.0
29124,168387,frankston," australia""",32.0
47506,274301,frankston," australia""",41.0
38112,220838,frankston," australia""",
35919,208181,fremantle," australia""",35.0
12852,74005,fremantle," australia""",
32968,190871,fremantle," australia""",
34607,200807,frenchs forest," australia""",42.0
12358,70885,freshwater," australia""",38.0
7137,41219,gawler east," australia""",48.0
3985,24172,gawler sth," australia""",45.0
21374,123625,geelong," australia""",22.0
36677,212191,geelong," australia""",22.0
22023,127120,geelong," australia""",
47653,275243,geelong," australia""",
21534,124540,geraldton," australia""",
14119,81637,gerroa," australia""",66.0
21109,122019,gilgandra," australia""",
28021,161936,gisborne," australia""",53.0
46599,268784,glebe," australia""",
35533,206187,glen iris," australia""",14.0
18473,106926,glen iris," australia""",
12407,71229,glen waverley," australia""",51.0
43784,252328,glendalough," australia""",27.0
20763,120081,glenelg," australia""",15.0
43493,250751,glenfield," australia""",31.0
28213,162935,glynde," australia""",28.0
8909,51725,gold coast," australia""",13.0
18472,106922,gold coast," australia""",14.0
23213,133733,gold coast," australia""",22.0
19303,111941,gold coast," australia""",23.0
23403,134873,gold coast," australia""",25.0
28553,164965,gold coast," australia""",35.0
4071,24606,gold coast," australia""",38.0
13906,80371,gold coast," australia""",50.0
20724,119748,gold coast," australia""",62.0
7480,43102,gold coast," australia""",
43918,253071,goonellabah," australia""",19.0
2599,16077,gordon," australia""",34.0
2704,16708,gorokan," australia""",34.0
27924,161356,gorokan," australia""",34.0
29310,169371,greer," australia""",18.0
42781,246776,gympie," australia""",21.0
10989,63184,gympie," australia""",22.0
46065,265982,gympie," australia""",
9048,52441,hackham," australia""",30.0
14546,83962,hallett cove," australia""",62.0
4270,25855,hallett cove," australia""",
5912,34509,hampton," australia""",
19917,115337,harden," australia""",57.0
43884,252840,hawthorn," australia""",25.0
15959,92583,heidelberg," australia""",26.0
30516,175886,hindmarsh island," australia""",52.0
34252,198612,hobart," australia""",14.0
31265,180279,hobart," australia""",19.0
20854,120763,hobart," australia""",26.0
47705,275563,hobart," australia""",27.0
8031,46224,hobart," australia""",29.0
29520,170462,hobart," australia""",29.0
13513,77876,hobart," australia""",31.0
7429,42776,hobart," australia""",41.0
34230,198512,hobart," australia""",54.0
27202,156584,hobart," australia""",55.0
11859,67994,hobart," australia""",57.0
6154,35797,holbrook," australia""",36.0
9692,55831,hornsby," australia""",32.0
35360,205291,huntingdale," australia""",26.0
39625,229386,huntingdale," australia""",48.0
17805,103108,hurstbridge," australia""",26.0
33343,192960,hurstville," australia""",40.0
39819,230514,indooroopilly," australia""",31.0
23940,137817,ipswich," australia""",29.0
12346,70731,ivanhoe," australia""",38.0
24859,143050,jamieson," australia""",51.0
13390,77228,jan juc," australia""",39.0
31589,182183,junee," australia""",26.0
39305,227538,kalamunda," australia""",37.0
31597,182220,kambah," australia""",
2643,16319,keith," australia""",43.0
4464,26806,kempsey," australia""",15.0
14538,83884,kempsey," australia""",51.0
46699,269347,khancoban," australia""",42.0
7711,44382,kilmore," australia""",29.0
36995,214072,kingston," australia""",
199,1133,kingswood," australia""",46.0
18376,106338,kirribilli," australia""",31.0
23767,136733,lake macquarie," australia""",47.0
15159,87649,lakes entrance," australia""",57.0
33605,194488,lakes entrance," australia""",
23660,136159,latham," australia""",57.0
5939,34644,launceston," australia""",21.0
387,2199,launceston," australia""",25.0
26107,149967,launceston," australia""",57.0
33124,191800,leura," australia""",14.0
5282,31148,lismore," australia""",62.0
35574,206431,lismore heights," australia""",50.0
26058,149690,logan city," australia""",35.0
44455,256303,lysterfield," australia""",41.0
3214,19905,mackay," australia""",16.0
13839,79942,mackay," australia""",26.0
40382,233711,mackay," australia""",36.0
19511,113120,mackay," australia""",49.0
37240,215658,mackay," australia""",52.0
1581,9445,maitland," australia""",14.0
46625,268957,maitland," australia""",28.0
20913,121037,mandurah," australia""",
35363,205308,manly beach," australia""",
928,5704,mapleton," australia""",45.0
27610,159350,mapleton," australia""",
42510,245182,mardi," australia""",35.0
41741,241204,marrickville," australia""",23.0
16655,96131,melbourne," australia""",15.0
22072,127349,melbourne," australia""",15.0
22675,130810,melbourne," australia""",16.0
26550,152630,melbourne," australia""",16.0
7246,41814,melbourne," australia""",17.0
26539,152587,melbourne," australia""",17.0
40567,234784,melbourne," australia""",17.0
38044,220471,melbourne," australia""",18.0
19971,115614,melbourne," australia""",19.0
38300,222026,melbourne," australia""",19.0
7123,41125,melbourne," australia""",20.0
39370,227923,melbourne," australia""",20.0
41736,241172,melbourne," australia""",20.0
13434,77471,melbourne," australia""",21.0
24738,142325,melbourne," australia""",21.0
37657,218036,melbourne," australia""",21.0
29892,172425,melbourne," australia""",22.0
44328,255522,melbourne," australia""",22.0
45315,261237,melbourne," australia""",22.0
772,4571,melbourne," australia""",23.0
1427,8361,melbourne," australia""",23.0
2108,12971,melbourne," australia""",23.0
32498,187981,melbourne," australia""",23.0
35281,204900,melbourne," australia""",23.0
37713,218344,melbourne," australia""",23.0
43694,251793,melbourne," australia""",23.0
6074,35320,melbourne," australia""",24.0
39766,230211,melbourne," australia""",24.0
42793,246863,melbourne," australia""",24.0
7111,41092,melbourne," australia""",25.0
11019,63370,melbourne," australia""",25.0
11096,63878,melbourne," australia""",25.0
14318,82769,melbourne," australia""",25.0
19640,113817,melbourne," australia""",25.0
25664,147465,melbourne," australia""",25.0
32799,189798,melbourne," australia""",25.0
32923,190542,melbourne," australia""",25.0
37596,217621,melbourne," australia""",25.0
17090,98787,melbourne," australia""",26.0
25631,147233,melbourne," australia""",26.0
26466,152155,melbourne," australia""",26.0
44492,256507,melbourne," australia""",26.0
2618,16146,melbourne," australia""",27.0
8142,47049,melbourne," australia""",27.0
10032,57838,melbourne," australia""",27.0
31385,180982,melbourne," australia""",27.0
42579,245559,melbourne," australia""",27.0
42762,246671,melbourne," australia""",27.0
1988,12341,melbourne," australia""",28.0
7690,44246,melbourne," australia""",28.0
12528,71877,melbourne," australia""",28.0
22142,127709,melbourne," australia""",28.0
26265,151068,melbourne," australia""",28.0
34991,203280,melbourne," australia""",28.0
13020,74941,melbourne," australia""",29.0
18109,104841,melbourne," australia""",29.0
36226,209440,melbourne," australia""",29.0
40395,233747,melbourne," australia""",29.0
26704,153466,melbourne," australia""",30.0
4263,25824,melbourne," australia""",31.0
24713,142143,melbourne," australia""",32.0
37388,216420,melbourne," australia""",32.0
44453,256294,melbourne," australia""",33.0
9038,52392,melbourne," australia""",34.0
45618,263151,melbourne," australia""",35.0
13632,78619,melbourne," australia""",37.0
41680,240843,melbourne," australia""",37.0
24419,140382,melbourne," australia""",38.0
998,6083,melbourne," australia""",39.0
43308,249781,melbourne," australia""",39.0
4955,29694,melbourne," australia""",40.0
24043,138407,melbourne," australia""",40.0
16455,95008,melbourne," australia""",41.0
4391,26453,melbourne," australia""",42.0
21855,126280,melbourne," australia""",42.0
24712,142142,melbourne," australia""",42.0
41112,237782,melbourne," australia""",42.0
45804,264314,melbourne," australia""",43.0
22351,128913,melbourne," australia""",44.0
22565,130211,melbourne," australia""",44.0
27744,160287,melbourne," australia""",44.0
1864,11477,melbourne," australia""",45.0
32811,189874,melbourne," australia""",46.0
21059,121782,melbourne," australia""",47.0
21097,121978,melbourne," australia""",47.0
24879,143214,melbourne," australia""",47.0
30430,175346,melbourne," australia""",47.0
32858,190221,melbourne," australia""",47.0
33867,196140,melbourne," australia""",47.0
39004,225832,melbourne," australia""",47.0
5092,30387,melbourne," australia""",48.0
12343,70713,melbourne," australia""",49.0
24732,142276,melbourne," australia""",49.0
6883,39602,melbourne," australia""",50.0
34580,200631,melbourne," australia""",51.0
6511,37626,melbourne," australia""",54.0
43716,251943,melbourne," australia""",57.0
37954,219904,melbourne," australia""",59.0
43495,250766,melbourne," australia""",63.0
807,4937,melbourne," australia""",
889,5453,melbourne," australia""",
1768,10863,melbourne," australia""",
3043,18733,melbourne," australia""",
3193,19755,melbourne," australia""",
3271,20263,melbourne," australia""",
5898,34408,melbourne," australia""",
6242,36232,melbourne," australia""",
13620,78554,melbourne," australia""",
15644,90617,melbourne," australia""",
18448,106810,melbourne," australia""",
19102,110744,melbourne," australia""",
19844,114879,melbourne," australia""",
21083,121933,melbourne," australia""",
21691,125342,melbourne," australia""",
22064,127309,melbourne," australia""",
24027,138314,melbourne," australia""",
25074,144247,melbourne," australia""",
25142,144626,melbourne," australia""",
25329,145613,melbourne," australia""",
25643,147337,melbourne," australia""",
27538,158856,melbourne," australia""",
31503,181689,melbourne," australia""",
31669,182763,melbourne," australia""",
33862,196118,melbourne," australia""",
34167,198134,melbourne," australia""",
34498,200154,melbourne," australia""",
35721,207302,melbourne," australia""",
36442,210625,melbourne," australia""",
36574,211401,melbourne," australia""",
37052,214527,melbourne," australia""",
37207,215469,melbourne," australia""",
37647,217989,melbourne," australia""",
37736,218452,melbourne," australia""",
38885,225208,melbourne," australia""",
39660,229595,melbourne," australia""",
39689,229696,melbourne," australia""",
39974,231430,melbourne," australia""",
40104,232199,melbourne," australia""",
40465,234064,melbourne," australia""",
40621,235109,melbourne," australia""",
41685,240879,melbourne," australia""",
41732,241144,melbourne," australia""",
41854,241839,melbourne," australia""",
42492,245111,melbourne," australia""",
43291,249684,melbourne," australia""",
43487,250733,melbourne," australia""",
44394,255931,melbourne," australia""",
45602,262998,melbourne," australia""",
48240,278539,melbourne," australia""",
13758,79444,melrose pk," australia""",41.0
31447,181293,mentone," australia""",68.0
12520,71837,middle beach," australia""",60.0
23593,135885,middle park," australia""",52.0
24447,140678,minto," australia""",32.0
20642,119225,minto heights," australia""",47.0
33351,192996,mitcham," australia""",42.0
8000,46006,mitcham," australia""",51.0
9558,55247,mittagong," australia""",
2644,16326,moe," australia""",15.0
20659,119341,moe," australia""",33.0
863,5297,mont albert," australia""",
11611,66715,montmorency," australia""",54.0
263,1486,montmorency," australia""",75.0
5861,34189,moonee ponds," australia""",50.0
36679,212206,morisset," australia""",32.0
17980,104168,mornington," australia""",
15723,91074,moruya," australia""",
5671,33119,mosman," australia""",23.0
34952,203047,mount duneed," australia""",55.0
6492,37548,mount hutton," australia""",29.0
40497,234288,mount waverley," australia""",35.0
43315,249826,mt barker," australia""",34.0
18820,109122,mt evelyn," australia""",42.0
48139,277992,mt lawley," australia""",26.0
32800,189804,mt martha," australia""",31.0
4159,25177,mulgrave," australia""",
30277,174685,mundaring," australia""",
26535,152570,murrumbatemen," australia""",42.0
46123,266321,naracoorte," australia""",47.0
13376,77120,narara," australia""",24.0
17796,103041,narara," australia""",
11166,64175,naremburn sydney," australia""",37.0
44625,257069,newcastle," australia""",15.0
17536,101526,newcastle," australia""",24.0
17358,100406,newcastle," australia""",25.0
45998,265562,newcastle," australia""",34.0
41687,240884,newcastle," australia""",62.0
44312,255460,newport," australia""",
908,5581,newtown," australia""",22.0
35351,205257,newtown," australia""",39.0
46140,266463,noosa heads," australia""",70.0
20614,119066,norfolk," australia""",25.0
35328,205148,north adelaide," australia""",24.0
10711,61545,north adelaide," australia""",48.0
252,1424,north avoca," australia""",
32754,189531,north fitzroy," australia""",
46327,267382,northam," australia""",59.0
45250,260875,northcote," australia""",34.0
1953,12138,northcote," australia""",36.0
7278,42032,northcote," australia""",43.0
17323,100176,northcote," australia""",
3882,23626,northcote/melbourne," australia""",
40934,236869,nowra," australia""",34.0
34900,202652,orange," australia""",19.0
17112,98912,paddington," australia""",35.0
32854,190205,paddington," australia""",70.0
29684,171227,padstow," australia""",
30523,175934,padstow heights," australia""",30.0
36591,211562,pakenham," australia""",35.0
12666,72866,palmwoods," australia""",51.0
23206,133706,palmyra," australia""",30.0
31873,183958,pambula," australia""",57.0
2237,13838,parkville," australia""",22.0
32427,187550,parramatta," australia""",40.0
33696,195005,payneham," australia""",37.0
21440,123968,penguin," australia""",39.0
37013,214210,penrith," australia""",21.0
9221,53357,perth," australia""",9.0
37607,217682,perth," australia""",15.0
16904,97915,perth," australia""",18.0
9395,54319,perth," australia""",19.0
20132,116377,perth," australia""",19.0
22100,127488,perth," australia""",19.0
4264,25839,perth," australia""",20.0
14750,85243,perth," australia""",21.0
37172,215276,perth," australia""",23.0
8183,47268,perth," australia""",24.0
16912,97956,perth," australia""",25.0
19348,112227,perth," australia""",25.0
26680,153324,perth," australia""",25.0
42551,245380,perth," australia""",25.0
24804,142686,perth," australia""",26.0
4256,25798,perth," australia""",27.0
15558,90072,perth," australia""",27.0
27105,155916,perth," australia""",27.0
28944,167478,perth," australia""",28.0
12826,73850,perth," australia""",31.0
44450,256278,perth," australia""",31.0
30324,174914,perth," australia""",33.0
40801,236173,perth," australia""",33.0
24638,141819,perth," australia""",34.0
46174,266643,perth," australia""",34.0
12304,70550,perth," australia""",37.0
18514,107234,perth," australia""",38.0
44870,258590,perth," australia""",39.0
9880,56964,perth," australia""",42.0
32802,189816,perth," australia""",43.0
8875,51569,perth," australia""",46.0
19718,114280,perth," australia""",54.0
22587,130320,perth," australia""",58.0
37933,219784,perth," australia""",60.0
18800,109029,perth," australia""",63.0
26461,152131,perth," australia""",65.0
6386,36992,perth," australia""",
12067,69143,perth," australia""",
14621,84524,perth," australia""",
15905,92306,perth," australia""",
27558,158987,perth," australia""",
35138,204153,perth," australia""",
36538,211234,perth," australia""",
43070,248390,perth," australia""",
46574,268651,perth," australia""",
46953,270658,picton," australia""",32.0
31420,181156,port augusta," australia""",59.0
5748,33535,port hedland," australia""",36.0
38343,222277,port macquarie," australia""",14.0
10372,59616,port melbourne," australia""",
47614,274988,preston," australia""",29.0
40344,233508,prospect," australia""",38.0
8180,47256,pyrmont," australia""",24.0
25736,147867,quakers hill," australia""",
16056,93125,queanbeyan," australia""",51.0
21599,124871,queanbeyan," australia""",
10105,58245,redcliffe," australia""",36.0
40547,234687,redlands," australia""",44.0
7650,43962,renmark," australia""",23.0
18498,107093,renmark," australia""",29.0
24376,140161,revesby," australia""",44.0
21562,124681,ringwood north," australia""",44.0
41408,239397,ripponlea," australia""",52.0
29185,168736,robina," australia""",
42345,244418,rockhampton," australia""",19.0
36423,210522,rockhampton," australia""",25.0
42627,245871,rockhampton," australia""",39.0
41092,237660,rockhampton," australia""",
35041,203573,rockingham," australia""",24.0
14638,84617,rockingham," australia""",64.0
17079,98749,rosebery," australia""",34.0
2649,16376,rosemount," australia""",59.0
22840,131664,roseville," australia""",25.0
1922,11844,rozelle," australia""",
3825,23296,rye," australia""",71.0
41861,241907,safety bay," australia""",57.0
21261,123033,salamander bay," australia""",
40671,235438,sale," australia""",
24830,142823,san diego," australia""",29.0
28750,166142,savona," australia""",47.0
45392,261710,scone," australia""",
16621,95915,scullin," australia""",13.0
43798,252383,scullin," australia""",60.0
34306,198915,seattle," australia""",49.0
14828,85667,seven hills," australia""",25.0
8683,50454,sevilla," australia""",32.0
16742,96679,seville grove," australia""",27.0
43391,250292,seville grove," australia""",36.0
9413,54412,shellharbour," australia""",45.0
19636,113802,shepparton," australia""",
40296,233251,shepparton," australia""",
40300,233263,silverdale," australia""",17.0
17128,98975,south west rocks," australia""",49.0
14810,85540,sparta," australia""",
25507,146421,spotswood," australia""",44.0
38049,220490,st helens," australia""",32.0
16623,95921,st james," australia""",
40834,236340,st kilda," australia""",29.0
1057,6365,st kilda west," australia""",
34565,200557,st leonards," australia""",26.0
9359,54148,st marys," australia""",75.0
8032,46232,strathfield," australia""",25.0
47441,273895,summerland point," australia""",
9066,52557,sunbury," australia""",39.0
36256,209569,sunshine," australia""",33.0
29756,171720,surry hills," australia""",34.0
18540,107376,surry hills," australia""",35.0
12121,69499,sutherland," australia""",31.0
38891,225232,sydney," australia""",4.0
8408,48703,sydney," australia""",13.0
44967,259140,sydney," australia""",13.0
926,5702,sydney," australia""",14.0
7455,42949,sydney," australia""",14.0
9212,53288,sydney," australia""",14.0
32447,187745,sydney," australia""",14.0
35014,203418,sydney," australia""",14.0
42479,245040,sydney," australia""",14.0
13412,77342,sydney," australia""",15.0
22968,132319,sydney," australia""",15.0
27116,155980,sydney," australia""",15.0
28671,165629,sydney," australia""",15.0
29235,168970,sydney," australia""",15.0
