,User-ID,User-City,User-State,User-Country,User-Age
31700,183015,washington township, new jersey," usa""",103.0
36846,213150,destrehan, louisiana," usa""",103.0
5595,32642,boston, massachusetts," usa""",103.0
591,3437,honolulu, hawaii," usa""",103.0
11657,66960,brussels, n/a," belgium""",103.0
13275,76482,zanesville, ohio," usa""",103.0
20437,118070,lancaster, ohio," usa""",103.0
46419,267830,fort worth, texas," usa""",101.0
41154,238034,asker, akershus," norway""",101.0
32405,187410,kansas city, n/a," usa""",100.0
29919,172634,barcelona, catalunya," spain""",100.0
47258,272596,barcelona, barcelona," spain""",100.0
39557,228990,private, michigan," usa""",99.0
19838,114865,croydon, victoria," australia""",97.0
24739,142329,am sueden, n/a," luxembourg""",96.0
41730,241131,l.a., california," usa""",94.0
39011,225867,despair, indiana," usa""",93.0
47160,271844,elfin forest, ,,93.0
19510,113112,york, ,,90.0
22650,130658,montreal, ,,90.0
18025,104404,bonita springs, florida," usa""",85.0
45787,264215,houston, texas," usa""",85.0
42064,242891,rockwall, texas," usa""",84.0
6917,39865,carlsbad, california," usa""",84.0
10897,62641,vancouver, british columbia," canada""",84.0
3947,23948,mendocino, california," usa""",83.0
22597,130380,seattle, washington," usa""",83.0
15329,88652,lanham, maryland," usa""",83.0
10019,57788,victoria, british columbia," canada""",83.0
32368,187232,olympia, washington," usa""",83.0
46597,268774,fremont, california," usa""",82.0
46146,266481,san marcos, california," usa""",82.0
39202,226980,olympia, washington," usa""",82.0
31082,179075,hampton, ," usa""",82.0
3931,23867,carson city, nevada," usa""",82.0
15336,88683,bainbridge, georgia," usa""",82.0
45709,263732,red creek, new york," usa""",81.0
26331,151434,oakley, california," usa""",81.0
22155,127785,san diego, california," usa""",81.0
30897,178035,pembroke, ," canada""",81.0
28722,165959,steamboat rock, iowa," usa""",81.0
10127,58363,colorado springs, colorado," usa""",81.0
30723,177068,royal oak, michigan," usa""",81.0
12350,70783,cleveland, ohio," usa""",81.0
8823,51247,burradoo, new south wales," australia""",81.0
33025,191188,oakland, california," usa""",80.0
31300,180495,millville, new jersey," usa""",80.0
10158,58515,wagener, south carolina," usa""",80.0
16295,94213,esko, minnesota," usa""",80.0
3265,20230,batavia, illinois," usa""",80.0
23834,137136,exton, pennsylvania," usa""",80.0
9532,55141,berkeley, california," usa""",80.0
12186,69907,ocala, florida," usa""",80.0
9758,56235,merced, california," afghanistan""",80.0
44070,253996,durham, north carolina," usa""",80.0
30535,176013,kirkland, arizona," usa""",80.0
25820,148344,concord, ohio," usa""",79.0
41945,242333,chesterland, ohio," usa""",79.0
32499,187989,boston, massachusetts," usa""",79.0
44267,255168,levittown, pennsylvania," usa""",79.0
33048,191416,kansas city, missouri," usa""",79.0
4143,25078,washington, illinois," usa""",79.0
46541,268474,kingman, arizona," usa""",79.0
34998,203355,pittsford, new york," usa""",78.0
1501,8930,st. louis, missouri," usa""",78.0
23534,135615,santa cruz, california," usa""",78.0
7397,42573,dallas, ,,78.0
37014,214212,merlin, oregon," usa""",78.0
6388,37006,burr ridge, illinois," usa""",78.0
12458,71523,morgantown, west virginia," usa""",78.0
38320,222152,collegedale, tennessee," usa""",78.0
5159,30650,walla walla, ,,78.0
32390,187290,grosse pointe farms, michigan," usa""",78.0
9531,55138,rochester, new york," usa""",77.0
43728,252017,new bern, north carolina," usa""",77.0
15289,88389,severna park, maryland," usa""",77.0
12798,73670,leetsdale, pennsylvania," usa""",77.0
30044,173315,aiken, south carolina," usa""",77.0
701,4091,estill springs, tennessee," usa""",77.0
7739,44547,orlando, florida," usa""",77.0
21227,122817,hamilton, ontario," canada""",77.0
4251,25743,windsor, england," united kingdom""",77.0
45716,263755,springfield, illinois," usa""",77.0
43841,252622,paradise, california," usa""",77.0
16340,94448,ottawa, ontario," canada""",77.0
6865,39523,dale, texas," usa""",77.0
45534,262550,jaffrey, new hampshire," usa""",77.0
26314,151355,rio de janeiro, rj," brazil""",77.0
32857,190220,creston, british columbia," canada""",77.0
16979,98298,courtenay, british columbia," canada""",76.0
39507,228692,surprise, arizona," usa""",76.0
20873,120842,nepean, ontario," canada""",76.0
32284,186773,toledo, ohio," usa""",76.0
27124,156028,daly city, california," usa""",76.0
36874,213326,oologah, oklahoma," usa""",76.0
6112,35552,st. joseph, michigan,,76.0
6152,35793,phoenix, arizona," usa""",76.0
6191,35963,mcminnville, oregon," usa""",76.0
47640,275179,ormond beach, florida," usa""",76.0
43237,249401,montrose, colorado," usa""",76.0
18131,104941,moorhead, minnesota," usa""",76.0
25695,147680,cary, ,,76.0
39478,228455,long beach, california," usa""",76.0
36663,212122,hampton, new hampshire," usa""",76.0
2666,16490,chandler, arizona," usa""",76.0
16545,95452,st louis, missouri," usa""",76.0
4265,25843,lake ozark, missouri," usa""",76.0
22029,127135,pompano beach, florida," usa""",76.0
41108,237768,canton, ohio," usa""",76.0
36035,208590,los angeles, california," usa""",76.0
22309,128611,la habra, california," usa""",76.0
33374,193309,la mesa, california," usa""",76.0
5204,30814,salem, oregon," usa""",76.0
17266,99843,huntington beach, california," usa""",76.0
3776,22988,greensboro, north carolina," usa""",76.0
17503,101299,pelham, ,,76.0
14480,83529,foster city, california," usa""",76.0
15395,88993,calgary, alberta," canada""",76.0
32702,189165,philadelphia, pennsylvania," usa""",76.0
24518,141065,abbotsford, british columbia," canada""",76.0
11486,65936,new york, new york," usa""",76.0
33431,193549,weatherford, texas," usa""",76.0
9298,53765,etobicoke, ontario," canada""",75.0
6682,38488,unionville, ohio," usa""",75.0
20208,116796,santa claus, indiana," usa""",75.0
14543,83939,cuba, missouri," usa""",75.0
45986,265487,kaneohe, hawaii," usa""",75.0
37540,217292,s charleston, ,,75.0
9359,54148,st marys, new south wales," australia""",75.0
16665,96215,pottstown, pennsylvania," usa""",75.0
28346,163681,east lansing, michigan," usa""",75.0
6460,37383,northwood, new hampshire," usa""",75.0
3939,23896,rocky hill, new jersey," usa""",75.0
11643,66912,padstow, england," united kingdom""",75.0
32496,187976,greenlawn, new york," usa""",75.0
5321,31343,mesa, arizona," usa""",75.0
16236,93941,san marcos, california," usa""",75.0
47300,272902,aventura, florida," usa""",75.0
10792,62037,pencacola, florida," usa""",75.0
263,1486,montmorency, victoria," australia""",75.0
7445,42925,visalia, california," usa""",75.0
47691,275450,bakersfield, california," usa""",75.0
31220,179907,pensacola, florida," usa""",75.0
14247,82359,san francisco, california," usa""",75.0
1161,6873,mexico, missouri," usa""",75.0
40917,236782,denver, colorado," usa""",75.0
11585,66565,bloomington, indiana," usa""",75.0
30540,176037,manning, south carolina," usa""",74.0
28773,166341,portland, oregon," usa""",74.0
19247,111539,bayamon, puerto rico," usa""",74.0
36671,212168,fort valley, georgia," usa""",74.0
41368,239106,pasadena, california," usa""",74.0
5313,31299,homer city, pennsylvania," usa""",74.0
3930,23864,beamsville, ontario," canada""",74.0
45335,261320,price, ,,74.0
15324,88640,houston, texas," usa""",74.0
3511,21515,naples, florida," usa""",74.0
4834,28910,n. royalton, ohio," usa""",74.0
38944,225578,santa fe, new mexico," usa""",74.0
30695,176951,washington, utah," usa""",74.0
47493,274191,paducah, kentucky," usa""",74.0
16200,93769,rochester, minnesota," usa""",74.0
43097,248520,worcester, massachusetts," usa""",74.0
26644,153105,san diego, california," usa""",74.0
41017,237310,richmond, virginia," usa""",74.0
16313,94294,urbandale, iowa," usa""",74.0
27497,158662,clackamas, oregon," usa""",74.0
46339,267480,alexandria, virginia," usa""",74.0
45819,264408,tacoma, washington," usa""",74.0
42183,243553,grosse pointe, michigan," usa""",74.0
21973,126851,spring branch, texas," usa""",74.0
47550,274633,tehachapi, california," usa""",74.0
41663,240745,westminster, california," usa""",74.0
13711,79066,kajang, selangor," malaysia""",74.0
37004,214146,orlando, florida," usa""",74.0
24328,139864,victoria, british columbia," canada""",74.0
17746,102772,fort myers, florida," usa""",74.0
16643,96063,westmount, quebec," canada""",74.0
44674,257425,london, n/a," united kingdom""",74.0
24269,139570,lower hutt, n/a," new zealand""",74.0
7609,43751,ottawa, ontario," canada""",74.0
32386,187284,houston, texas," usa""",74.0
6997,40427,punta gorda, florida," usa""",74.0
18578,107638,virginia beach, virginia," usa""",74.0
39087,226362,houston, texas," usa""",74.0
248,1409,farmington hills, michigan," usa""",74.0
33105,191709,los osos, delaware," canada""",73.0
8897,51655,drumright, oklahoma," usa""",73.0
25608,147112,antelope, ,,73.0
26085,149825,pomona, california," usa""",73.0
28605,165268,madras, oregon," usa""",73.0
14635,84606,brisbane, queensland," australia""",73.0
4227,25592,walnut creek, california," usa""",73.0
29145,168531,los alamitos, california," usa""",73.0
26163,150424,orlando, florida," usa""",73.0
42405,244719,lords valley, pennsylvania," usa""",73.0
7731,44488,adelaide, south australia," australia""",73.0
9308,53830,carmel, california," usa""",73.0
22011,127076,lebanon, oregon," usa""",73.0
27493,158650,elyria, ohio," usa""",73.0
32827,190062,chesapeake, virginia," usa""",73.0
11857,67988,houston, texas," usa""",73.0
5543,32275,new bern, ," usa""",73.0
19680,114050,cheney, washington," usa""",73.0
5419,31750,riegelsville, pennsylvania," usa""",73.0
11724,67322,petaluma, california," usa""",73.0
5638,32934,westminster, california," usa""",73.0
46109,266258,midland, texas," usa""",73.0
42635,245917,homer, alaska," usa""",73.0
22976,132374,arden hills, minnesota," usa""",73.0
17214,99402,manistee, michigan," usa""",73.0
35444,205728,missoula, montana," usa""",73.0
15544,89945,davis, california," usa""",73.0
11560,66464,benson, arizona," usa""",73.0
4690,28133,paso robles, california," usa""",73.0
17136,99018,huntington beach, california," usa""",73.0
33413,193461,san bruno, california," usa""",73.0
23964,137999,livonia, michigan," usa""",73.0
3594,21952,winter springs, florida," usa""",73.0
16476,95105,fenton, missouri," usa""",73.0
2803,17231,ottawa, ontario," canada""",73.0
43387,250275,portland, oregon," usa""",73.0
16451,94989,cannington, ontario," canada""",73.0
18121,104883,houston, texas," usa""",73.0
32351,187110,quincy, illinois," usa""",73.0
30884,177983,alameda, california," usa""",73.0
23961,137968,kalamazoo, michigan," usa""",73.0
37193,215376,kent, washington," usa""",73.0
17681,102363,perth, ontario," canada""",73.0
7205,41586,nicolaus, california," usa""",73.0
1267,7429,pollock pines, california," usa""",73.0
872,5361,three rivers, michigan," usa""",72.0
26450,152061,estero, florida," usa""",72.0
20906,120993,las vegas, nevada," usa""",72.0
19344,112199,union, kentucky," usa""",72.0
13502,77816,mcminnville, oregon," usa""",72.0
44045,253815,bonn, nordrhein-westfalen," germany""",72.0
5572,32466,virginia beach, virginia," usa""",72.0
13485,77747,bismarck, missouri," usa""",72.0
7869,45287,chesapeake, virginia," usa""",72.0
44364,255749,denver, colorado," usa""",72.0
41833,241723,palmer, alaska," usa""",72.0
6974,40247,columbia city, indiana," usa""",72.0
6857,39476,redlands, ,,72.0
41398,239317,wilmington, north carolina," usa""",72.0
3163,19577,chicago, illinois," usa""",72.0
28964,167578,fredericksburg, texas," usa""",72.0
44105,254170,incline village, nevada," usa""",72.0
38493,223064,seminole, florida," usa""",72.0
42797,246903,stevensville, ,,72.0
32734,189409,la jolla, california," usa""",72.0
45267,260947,muskegon, michigan," usa""",72.0
45893,264873,tucson, arizona," usa""",72.0
33241,192396,scottsdale, arizona," usa""",72.0
32365,187218,portland, oregon," usa""",72.0
15821,91720,south bend, indiana," usa""",72.0
5847,34127,somers, new york," usa""",72.0
1464,8699,zeewolde, flevoland," netherlands""",72.0
9287,53677,olympia, washington," usa""",72.0
36623,211791,starksboro, vermont," usa""",72.0
38091,220680,tampa, florida," usa""",72.0
2340,14449,saskatoon, saskatchewan," canada""",72.0
31559,182010,las vegas, nevada," usa""",72.0
44843,258409,pharr, texas,,72.0
27522,158791,marmora, new jersey," usa""",72.0
34376,199384,westminster, colorado," usa""",72.0
20343,117535,sacramento, california," usa""",72.0
28883,166990,langley, british columbia," canada""",72.0
43131,248735,bristow, oklahoma," usa""",72.0
31735,183145,woburn, ,,72.0
40926,236840,geneva, iowa," usa""",72.0
35999,208472,decatur, georgia," usa""",72.0
44777,258004,setauket, new york," usa""",72.0
16147,93565,tustin, ,,72.0
47630,275126,south sioux city, nebraska," usa""",72.0
27487,158606,dunedin, florida," usa""",72.0
7135,41200,raleigh, north carolina," usa""",72.0
4877,29131,lehigh acres, florida," usa""",72.0
38299,222023,san jose, california," usa""",72.0
3358,20799,orange, california," usa""",72.0
40734,235821,ames, iowa," usa""",71.0
3621,22095,rochester, minnesota," usa""",71.0
25897,148775,rainbow, california," usa""",71.0
47019,271066,jacksonville, florida," usa""",71.0
13221,76173,comox, british columbia," canada""",71.0
14561,84112,palm beach, ,,71.0
17666,102284,alexandria, virginia," usa""",71.0
3825,23296,rye, victoria," australia""",71.0
12193,69929,seattle, washington," usa""",71.0
45521,262471,seattle, washington," usa""",71.0
8752,50824,everett, washington," usa""",71.0
27547,158925,yuma, ,,71.0
29180,168715,clinton, kentucky," usa""",71.0
20221,116847,willoughby, ohio," usa""",71.0
30902,178066,vacaville, ,,71.0
33240,192393,cocoa, florida," usa""",71.0
27231,156812,winchester, virginia," usa""",71.0
18961,109971,noblesville, indiana," usa""",71.0
43676,251717,milford, delaware," usa""",71.0
689,3999,new braunfels, texas," usa""",71.0
3952,23965,shelbyville, kentucky," usa""",71.0
44240,255013,hamburg, new york," usa""",71.0
11926,68352,brea, california," usa""",71.0
3255,20164,burnsville, minnesota," usa""",71.0
20203,116763,canton, georgia," usa""",71.0
47338,273190,coconut grove, ,,71.0
8654,50216,wellton, arizona," usa""",71.0
15045,86947,san antonio, texas," usa""",71.0
30517,175892,white bear lake, minnesota,,71.0
4716,28257,bothell, washington," usa""",71.0
6111,35551,scarborough, ontario," canada""",71.0
16246,93998,port angeles, washington," usa""",71.0
10898,62650,katy, texas," usa""",71.0
28380,163874,punta gorda, florida," usa""",71.0
47124,271583,hominy, oklahoma," usa""",71.0
36539,211241,chesterfield, missouri," usa""",71.0
26485,152309,chicago, illinois," usa""",71.0
32789,189725,denton, texas," usa""",71.0
45079,259775,huntington beach, california," usa""",71.0
34039,197239,seattle, ,,71.0
6117,35569,canandaigua, new york," usa""",71.0
4225,25582,livermore falls, maine," usa""",71.0
510,2954,wichita, kansas," usa""",71.0
26159,150386,lacey, washington," usa""",71.0
6512,37630,palm desert, california," usa""",71.0
23039,132709,santa cruz, california," usa""",71.0
39041,226026,ashern, manitoba," canada""",71.0
44918,258905,new york, new york," usa""",71.0
7436,42847,las vegas, nevada," usa""",71.0
2711,16730,halfmoon bay, british columbia," canada""",71.0
36291,209759,laurel, maryland," usa""",71.0
35226,204634,mukilteo, washington," usa""",71.0
28763,166267,garnett, kansas," usa""",70.0
11964,68537,friendswood, texas," usa""",70.0
33238,192387,huntington beach, california," usa""",70.0
17790,103020,cleveland, ohio," usa""",70.0
9648,55655,wausau, wisconsin," usa""",70.0
17939,103970,santa barbara, california," usa""",70.0
12843,73963,somewhere, massachusetts," usa""",70.0
39997,231575,blairstown, new jersey," usa""",70.0
46140,266463,noosa heads, queensland," australia""",70.0
44632,257109,chambersburg, pennsylvania," usa""",70.0
14145,81753,weybridge, vermont," usa""",70.0
47966,277157,garden grove, california," usa""",70.0
6786,39085,clermont, florida," usa""",70.0
14902,86100,bartow, west virginia," usa""",70.0
21145,122271,evanston, illinois," usa""",70.0
28810,166581,rogers, arkansas," usa""",70.0
32461,187808,saginaw, michigan," usa""",70.0
32854,190205,paddington, new south wales," australia""",70.0
12881,74136,walnut creek, california," usa""",70.0
30982,178450,warrensburg, missouri," usa""",70.0
47800,276108,chapel hill, north carolina," usa""",70.0
48155,278112,middleburg hts, ," usa""",70.0
6828,39323,benbrook, texas," usa""",70.0
44295,255331,eversley.          hampshire, england," united kingdom""",70.0
36100,208791,toronto, ontario," canada""",70.0
17520,101404,reading, pennsylvania," usa""",70.0
33727,195145,crawley down, england," united kingdom""",70.0
12644,72687,adelaide, south australia," australia""",70.0
32475,187896,surfside beach, south carolina," usa""",70.0
14254,82405,st. louis, missouri," usa""",70.0
21219,122791,stockton, alabama," usa""",70.0
2664,16475,iowa city, iowa," usa""",70.0
26264,151063,san antonio, texas," usa""",70.0
36768,212775,cincinnati, ohio," usa""",70.0
41370,239111,tucson, arizona," usa""",70.0
3846,23392,port angeles, washington," usa""",70.0
35252,204763,arvada, colorado," usa""",70.0
14427,83275,pensacola, florida," usa""",70.0
17928,103880,belle plaine, kansas," usa""",70.0
16182,93698,halfmoon bay, british columbia," canada""",70.0
16360,94543,perkasie, pennsylvania," usa""",70.0
45537,262557,pinellas park, florida," usa""",70.0
37806,218870,kennewick, washington," usa""",70.0
26332,151442,culver city, california," usa""",70.0
45088,259801,manchester, new hampshire," usa""",70.0
4260,25811,henderson, nevada," usa""",70.0
38703,224036,des plaines, illinois," usa""",70.0
32354,187148,westminster, maryland," usa""",70.0
15725,91087,rancho mirage, california," usa""",70.0
37504,217094,new westminster, british columbia," canada""",70.0
17065,98695,marietta, georgia," usa""",70.0
15454,89377,gibbon, minnesota," usa""",70.0
38573,223442,las vegas, nevada," usa""",70.0
5941,34657,marcellus, michigan," usa""",70.0
40269,233125,walland, tennessee," usa""",70.0
26453,152080,virginia beach, virginia," usa""",70.0
3278,20326,denton, texas," usa""",70.0
29043,167984,tucson, arizona," usa""",70.0
32378,187260,edinburg, virginia," usa""",70.0
46577,268665,wildwood, florida," usa""",70.0
41166,238080,gladstone, oregon," usa""",70.0
26648,153152,long beach, california," usa""",70.0
17221,99452,albion, michigan," usa""",70.0
44451,256282,amarillo, texas," usa""",70.0
40362,233613,madison, connecticut," usa""",70.0
32689,189066,victoria, british columbia," canada""",70.0
41226,238431,olympia, washington," usa""",70.0
18869,109380,denver, colorado," usa""",70.0
45296,261120,tigard, oregon," usa""",70.0
11283,64708,kingman, arizona," usa""",70.0
26564,152720,richmond, virginia," usa""",70.0
26065,149732,sedona, arizona," usa""",70.0
17054,98655,st. petersburg, florida," usa""",70.0
33951,196655,sooke, british columbia," canada""",70.0
11439,65597,aztec, new mexico," usa""",70.0
1038,6285,river john, nova scotia," canada""",70.0
10782,61935,wilson, north carolina," usa""",70.0
17231,99549,carol stream, illinois," usa""",70.0
47572,274744,sydney, new south wales," australia""",69.0
43674,251715,saratoga springs, new york," usa""",69.0
1041,6302,sidney, british columbia," canada""",69.0
1447,8613,cincinnati, ohio," usa""",69.0
46379,267635,bartlesville, oklahoma," usa""",69.0
41007,237275,westminster, maryland," usa""",69.0
34001,196906,north platte, nebraska," usa""",69.0
22555,130166,st. charles, missouri," usa""",69.0
6766,38953,edmonton, alberta," canada""",69.0
25275,145323,atlanta, georgia," usa""",69.0
4141,25071,thunder bay, ontario," canada""",69.0
35826,207846,southport, north carolina," usa""",69.0
14253,82398,park city, kansas," usa""",69.0
44767,257947,huddersfield, west  yorkshire," united kingdom""",69.0
16304,94264,portales, new mexico,,69.0
25834,148457,west chester, pennsylvania," usa""",69.0
47543,274564,vancouver, ,,69.0
45197,260528,pittsburg, missouri," usa""",69.0
15952,92556,medford, oregon," usa""",69.0
8034,46254,toronto, ontario," canada""",69.0
26612,152955,miami, florida," usa""",69.0
36474,210835,richmond, virginia," usa""",69.0
14434,83306,new minas, nova scotia," canada""",69.0
46402,267766,west milford, new jersey," usa""",69.0
27100,155872,london, ontario," canada""",69.0
30067,173481,arlington, texas," usa""",69.0
37524,217167,lakeland, ,,69.0
27726,160171,stoney creek, ontario," canada""",69.0
16491,95193,bellingham, washington," usa""",69.0
33219,192287,sturgeon bay, wisconsin," usa""",69.0
3160,19573,stockton, california," usa""",69.0
30883,177982,oak park, california," usa""",69.0
6038,35144,galveston, texas," usa""",69.0
36059,208665,chicago, illinois," usa""",69.0
4811,28800,03770 el verger, (alacant)," spain""",69.0
23983,138112,bozeman, montana," usa""",69.0
15818,91709,tucson, arizona," usa""",69.0
38164,221181,olympia, washington," usa""",69.0
13094,75428,damascus, maryland," usa""",69.0
15861,91978,albuquerque, new mexico," usa""",69.0
46640,269069,boise, idaho," usa""",69.0
4832,28899,st. matthews, south carolina," usa""",69.0
274,1535,virginia beach, virginia," usa""",69.0
29494,170319,vancouver, washington," usa""",69.0
37700,218283,castlegar, british columbia," canada""",69.0
40048,231853,tucson, arizona," usa""",69.0
31817,183615,sherman, texas," usa""",69.0
27949,161466,taunton, massachusetts," usa""",69.0
16826,97319,baie d`urfe, quebec," canada""",69.0
19222,111358,cameron, west virginia," usa""",69.0
20309,117336,cambridge, massachusetts," usa""",69.0
30917,178115,crossville, tennessee," usa""",69.0
26691,153374,asheboro, north carolina," usa""",69.0
35963,208347,montreal, quebec," canada""",69.0
28609,165288,stockport, greater manchester," united kingdom""",69.0
16119,93427,plymouth, massachusetts," usa""",69.0
46778,269727,lake oswego, oregon," usa""",69.0
4194,25386,richmond, virginia," usa""",69.0
12020,68854,chula vista, california," usa""",69.0
16215,93837,lombard, illinois," usa""",69.0
47371,273380,beloit, wisconsin," usa""",69.0
35876,208041,acton, massachusetts," usa""",69.0
40948,236934,lake oswego, oregon," usa""",69.0
35428,205621,henderson, nevada," usa""",69.0
1034,6265,polk city, florida," usa""",69.0
7881,45369,north bend, ohio," usa""",69.0
46142,266468,huntley, illinois," usa""",69.0
43221,249256,arvada, colorado," usa""",69.0
25576,146862,baltimore, maryland," usa""",69.0
35316,205059,bangalore, karnataka," india""",69.0
27554,158971,knoxville, tennessee," usa""",69.0
46700,269349,north vancouver, british columbia," canada""",69.0
1541,9203,great bend, kansas," usa""",69.0
14588,84294,panama city, florida," usa""",69.0
29179,168714,toronto, ontario," canada""",69.0
33365,193148,ormond beach, florida," usa""",69.0
30916,178114,kingwood, texas," usa""",69.0
45064,259669,austin, texas," usa""",69.0
21020,121526,garden grove, california," usa""",69.0
47470,274042,dunedin, otago," new zealand""",68.0
7677,44153,houston, texas," usa""",68.0
45946,265232,honolulu, hawaii," usa""",68.0
7050,40757,new york, new york," usa""",68.0
7944,45683,villa ridge, missouri," usa""",68.0
29336,169496,palo alto, ,,68.0
34641,201065,richmond, massachusetts," usa""",68.0
44400,255961,cardiff, sputh wales," united kingdom""",68.0
22924,132131,titusville, pennsylvania," usa""",68.0
7218,41676,ronald, washington," usa""",68.0
19485,112986,portland, oregon," usa""",68.0
13488,77753,penticton, british columbia," canada""",68.0
4501,27131,nelson, british columbia," canada""",68.0
30771,177334,yuma, arizona," usa""",68.0
46886,270242,santa clara, california," usa""",68.0
41323,238903,dearborn heights, michigan," usa""",68.0
45983,265476,lower hutt, n/a," new zealand""",68.0
13349,76976,tarzana, california," usa""",68.0
46925,270486,gurnee, illinois," usa""",68.0
41334,238942,harleysville, pennsylvania," usa""",68.0
17263,99799,wappingers falls, new york," usa""",68.0
2095,12874,chesapeake, virginia," usa""",68.0
615,3556,bismarck, north dakota," usa""",68.0
39137,226597,parma, ohio," usa""",68.0
11081,63808,kissimmee, florida," usa""",68.0
38865,225056,scotts valley, california," usa""",68.0
36976,213953,prince george, british columbia," canada""",68.0
11237,64478,st. charles, illinois," usa""",68.0
15621,90431,sandpoint, idaho," usa""",68.0
1442,8541,westcliffe, colorado," usa""",68.0
18359,106250,highland park, illinois," usa""",68.0
23797,136918,sacramento, california," usa""",68.0
36526,211167,clifton, new jersey," usa""",68.0
31447,181293,mentone, victoria," australia""",68.0
33842,196050,pittsburgh, pennsylvania," usa""",68.0
28077,162223,waikouaiti, otago," new zealand""",68.0
46167,266610,anchorage, alaska," usa""",68.0
26888,154610,vancouver, british columbia," canada""",68.0
6772,38991,cumby, texas," usa""",68.0
30251,174570,rockwall, texas," usa""",68.0
20886,120916,valparaiso, indiana," usa""",68.0
34439,199756,temperance, michigan," usa""",68.0
23518,135466,alexandria, virginia," usa""",68.0
43485,250725,victoria, british columbia," canada""",68.0
16606,95800,ewa beach, hawaii," usa""",68.0
31728,183123,fort myers, florida," usa""",68.0
28614,165305,kansas city, kansas," usa""",68.0
43124,248714,calgary, alberta," canada""",68.0
36984,213998,columbia, pennsylvania," usa""",68.0
30028,173240,loomis, california," usa""",68.0
46377,267621,fort lauderdale, florida," usa""",68.0
37964,219939,towcester, england," united kingdom""",68.0
16188,93711,howell, michigan," usa""",68.0
16172,93667,silverton, oregon," usa""",68.0
46362,267558,wynndel, british columbia," canada""",68.0
46361,267553,rock cave, west virginia," usa""",68.0
31369,180919,minnetonka, minnesota," usa""",68.0
10798,62069,sherman oaks, california," usa""",68.0
28429,164183,silver spring, maryland," usa""",68.0
5300,31238,american fork, utah," usa""",68.0
35990,208429,monrovia, california," usa""",68.0
21988,126930,arroyo grande, california," usa""",68.0
33345,192975,houston, texas," usa""",68.0
3801,23138,new york, new york," usa""",68.0
17504,101304,chesapeake, virginia," usa""",68.0
4828,28877,modesto, california," usa""",68.0
3856,23477,lady lake, florida," usa""",68.0
31872,183952,alexandria, louisiana," usa""",68.0
31501,181683,warminster, pennsylvania," usa""",68.0
14425,83260,glenview, illinois," usa""",68.0
4956,29695,montrose, colorado," usa""",68.0
3753,22851,muenster, saskatchewan," canada""",68.0
25858,148595,brainerd, minnesota," usa""",68.0
14562,84119,fort qu`appelle, saskatchewan," canada""",68.0
42153,243387,swannanoa, north carolina," usa""",68.0
40976,237064,oxford, ,,68.0
44756,257900,san diego, california," usa""",68.0
47453,273943,hayward, california," usa""",68.0
8410,48712,w. st. paul, minnesota," usa""",68.0
32423,187533,san jose, san jose," costa rica""",68.0
37721,218384,the villages, florida," usa""",68.0
38725,224150,miskotonic, rhode island," usa""",68.0
47369,273374,salmon arm, british columbia," canada""",68.0
6837,39372,san marcos, texas," usa""",68.0
2811,17278,cottonwood, arizona," usa""",67.0
16479,95128,chincoteague island, virginia," usa""",67.0
14458,83405,apple valley, california," usa""",67.0
14454,83383,san diego, california," usa""",67.0
