Title-and-Author,num_ratings,avg_rating
needful things by stephen king,61,8.081967213114755
the two towers by j . r . r . tolkien,61,9.459016393442623
the girl who loved tom gordon by stephen king,60,7.2
jemima j by jane green,60,7.583333333333333
misery by stephen king,60,8.05
prodigal summer by barbara kingsolver,59,8.016949152542374
1984 by george orwell,59,9.0
neverwhere by neil gaiman,59,8.05084745762712
ender's game by orson scott card,59,8.847457627118644
balzac and the little chinese seamstress by dai sijie,59,8.101694915254237
the reader by bernhard schlink,59,7.237288135593221
beloved by toni morrison,59,7.52542372881356
midwives by chris bohjalian,58,7.844827586206897
sphere by michael crichton,58,7.379310344827586
dolores claiborne by stephen king,58,7.224137931034483
outlander by diana gabaldon,57,8.982456140350877
the return of the king by j . r . r . tolkien,56,9.392857142857142
confessions of an ugly stepsister by gregory maguire,56,7.375
the street lawyer by john grisham,56,7.660714285714286
icy sparks by gwyn hyman rubio,56,7.160714285714286
silence of the lambs by thomas harris,56,8.267857142857142
fahrenheit 451 by ray bradbury,55,8.50909090909091
prey by michael crichton,55,7.618181818181818
chocolat by joanne harris,55,7.836363636363636
the color purple by alice walker,54,8.62962962962963
the bean trees by barbara kingsolver,54,8.092592592592593
into thin air by jon krakauer,54,8.61111111111111
cold mountain by charles frazier,54,7.37037037037037
the tale of the body thief by anne rice,54,6.7407407407407405
the bonesetter's daughter by amy tan,53,8.11320754716981
the king of torts by john grisham,53,7.433962264150943
the horse whisperer by nicholas evans,53,7.433962264150943
we were the mulvaneys by joyce carol oates,53,6.90566037735849
the witching hour by anne rice,52,7.923076923076923
watership down by richard adams,52,8.615384615384615
the corrections by jonathan franzen,52,7.365384615384615
fried green tomatoes at the whistle stop cafe by fannie flagg,52,8.557692307692308
brave new world by aldous huxley,52,8.134615384615385
the hitchhiker's guide to the galaxy by douglas adams,52,8.48076923076923
the great gatsby by f . scott fitzgerald,51,7.862745098039215
"a child called it"" by dave pelzer",51,8.0
the cider house rules by john irving,51,8.019607843137255
the alienist by caleb carr,50,7.76
into the wild by jon krakauer,50,8.04
drowning ruth by christina schwarz,50,7.7
the god of small things by arundhati roy,50,7.74
the gunslinger by stephen king,50,8.28
on the road by jack kerouac,50,7.62
digital fortress by dan brown,50,7.52
the beach house by james patterson,50,7.18
fall on your knees by ann - marie macdonald,48,7.645833333333333
the golden compass by philip pullman,48,8.708333333333334
the perfect storm by sebastian junger,48,7.354166666666667
a walk to remember by nicholas sparks,48,7.8125
the lost world by michael crichton,48,7.208333333333333
coraline by neil gaiman,48,8.104166666666666
the kitchen god's wife by amy tan,48,8.104166666666666
while i was gone by sue miller,48,6.9375
stupid white men . . . and other sorry excuses for the state of the nation by michael moore,48,7.979166666666667
tis by frank mccourt,47,7.595744680851064
skipping christmas by john grisham,47,7.468085106382978
the eyre affair by jasper fforde,47,8.042553191489361
lord of the flies by william gerald golding,47,8.042553191489361
the drawing of the three by stephen king,47,8.74468085106383
naked by david sedaris,47,8.382978723404255
2nd chance by james patterson,47,7.808510638297872
point of origin by patricia daniels cornwell,46,8.021739130434783
artemis fowl by eoin colfer,46,7.934782608695652
shipping news by annie proulx,46,7.739130434782608
dune by frank herbert,46,9.043478260869565
a bend in the road by nicholas sparks,46,7.543478260869565
in her shoes by jennifer weiner,46,7.826086956521739
shopaholic takes manhattan by sophie kinsella,45,7.7555555555555555
don't sweat the small stuff and it's all small stuff by richard carlson,45,7.533333333333333
one door away from heaven by dean r . koontz,45,7.733333333333333
the dark half by stephen king,45,7.555555555555555
the devil wears prada by lauren weisberger,44,7.2727272727272725
insomnia by stephen king,44,8.159090909090908
love in the time of cholera by gabriel garcia marquez,44,8.295454545454545
pet sematary by stephen king,44,7.909090909090909
shopgirl by steve martin,44,6.75
black notice by patricia daniels cornwell,43,7.627906976744186
the mists of avalon by marion zimmer bradley,43,8.44186046511628
"dude , where's my country by michael moore",43,8.186046511627907
the tommyknockers by stephen king,43,7.0
the deep end of the ocean by jacquelyn mitchard,43,7.534883720930233
the clan of the cave bear by jean m . auel,43,8.651162790697674
empire falls by richard russo,43,7.813953488372093
the talisman by stephen king,43,8.255813953488373
everything's eventual by stephen king,42,7.619047619047619
good omens by neil gaiman,42,8.666666666666666
"girl , interrupted by susanna kaysen",42,7.476190476190476
east of eden by john steinbeck,42,8.30952380952381
the celestine prophecy by james redfield,42,7.404761904761905
the queen of the damned by anne rice,42,7.190476190476191
a confederacy of dunces by john kennedy toole,41,7.902439024390244
the bad beginning by lemony snicket,41,7.2926829268292686
running with scissors by augusten burroughs,41,8.121951219512194
a is for alibi by sue grafton,41,7.560975609756097
seabiscuit by laura hillenbrand,41,8.439024390243903
sense and sensibility by jane austen,41,8.170731707317072
dracula by bram stoker,40,8.125
the tao of pooh by benjamin hoff,40,8.25
different seasons by stephen king,40,8.475
big stone gap by adriana trigiani,40,7.75
the weight of water by anita shreve,40,7.475
a walk in the woods by bill bryson,40,8.5
the rescue by nicholas sparks,40,8.05
what to expect when you're expecting by arlene eisenberg,39,8.35897435897436
pay it forward by catherine ryan hyde,39,7.948717948717949
it by stephen king,39,8.564102564102564
holes by louis sachar,39,8.512820512820513
ishmael by daniel quinn,39,8.538461538461538
one hundred years of solitude by gabriel garcia marquez,39,8.23076923076923
the hundred secret senses by amy tan,39,7.871794871794871
two for the dough by janet evanovich,39,8.64102564102564
american psycho by bret easton ellis,38,6.868421052631579
on the street where you live by mary higgins clark,38,7.552631578947368
along came a spider by james patterson,38,8.131578947368421
all i really need to know by robert fulghum,38,8.105263157894736
rose madder by stephen king,38,7.868421052631579
the subtle knife by philip pullman,38,8.842105263157896
siddhartha by hermann hesse,38,8.81578947368421
jitterbug perfume by tom robbins,38,8.236842105263158
cruel & unusual by patricia d . cornwell,37,8.027027027027026
preacher by garth ennis,37,8.027027027027026
desperation by stephen king,37,8.135135135135135
the princess bride by william goldman,37,8.756756756756756
skeleton crew by stephen king,37,7.891891891891892
intensity by dean koontz,37,8.216216216216216
the little prince by antoine de saint - exupery,37,9.324324324324325
full house by janet evanovich,37,6.72972972972973
sophie's world by jostein gaarder,37,7.918918918918919
four to score by janet evanovich,37,8.378378378378379
hard eight by janet evanovich,37,8.702702702702704
stones from the river by ursula hegi,37,8.27027027027027
animal farm by george orwell,37,8.45945945945946
airframe by michael crichton,36,7.305555555555555
secret history by donna tartt,36,7.916666666666667
the alchemist by paulo coelho,36,8.36111111111111
jewel by bret lott,36,7.305555555555555
from potter's field by patricia daniels cornwell,36,8.61111111111111
tribulation force by tim lahaye,36,8.222222222222221
a widow for one year by john irving,36,7.944444444444445
the murder book by jonathan kellerman,36,7.694444444444445
the pillars of the earth by ken follett,36,8.305555555555555
rising sun by michael crichton,36,7.0
kiss the girls by james patterson,36,8.027777777777779
chicken soup for the soul by jack canfield,36,8.055555555555555
girl in hyacinth blue by susan vreeland,36,7.444444444444445
the last time they met by anita shreve,36,7.027777777777778
faking it by jennifer crusie,36,7.972222222222222
daughter of fortune by isabel allende,35,8.085714285714285
memoirs of a geisha uk by arthur golden,35,7.9714285714285715
bookends by jane green,35,8.028571428571428
roses are red by james patterson,35,8.571428571428571
the lost boy by dave pelzer,35,8.114285714285714
disclosure by michael crichton,35,7.371428571428571
lasher by anne rice,35,7.771428571428571
zen and the art of motorcycle maintenance by robert pirsig,35,7.371428571428571
one flew over the cuckoo's nest by ken kesey,35,8.485714285714286
lamb by christopher moore,35,9.0
unnatural exposure by patricia daniels cornwell,35,8.257142857142858
the grapes of wrath by john steinbeck,35,8.685714285714285
a map of the world by jane hamilton,35,7.142857142857143
cradle and all by james patterson,35,7.057142857142857
anne of green gables by l . m . montgomery,35,9.17142857142857
dance upon the air by nora roberts,35,8.17142857142857
deception point by dan brown,35,7.771428571428571
illusions by richard bach,34,8.529411764705882
four past midnight by stephen king,34,7.970588235294118
the hot zone by richard preston,34,8.029411764705882
emma by jane austen,34,8.294117647058824
the book of ruth by jane hamilton,34,7.588235294117647
from a buick 8 by stephen king,34,7.382352941176471
black house by stephen king,34,7.852941176470588
the blind assassin by margaret atwood,34,7.470588235294118
mystic river by dennis lehane,34,7.794117647058823
neuromancer by william gibson,34,7.764705882352941
carrie by stephen king,34,7.852941176470588
firestarter by stephen king,34,7.676470588235294
who moved my cheese by spencer johnson,34,7.176470588235294
the virgin suicides by jeffrey eugenides,34,8.029411764705882
hot six by janet evanovich,34,8.411764705882353
memnoch the devil by anne rice,34,7.705882352941177
gerald's game by stephen king,34,7.647058823529412
tears of the giraffe by alexander mccall smith,34,8.323529411764707
daddy's little girl by mary higgins clark,34,7.588235294117647
the mummy or ramses the damned by anne rice,33,7.848484848484849
dragonfly in amber by diana gabaldon,33,8.909090909090908
b is for burglar by sue grafton,33,7.787878787878788
charlotte's web by e . b . white,33,8.969696969696969
congo by michael crichton,33,7.090909090909091
the lord of the rings by j . r . r . tolkien,33,8.757575757575758
here on earth by alice hoffman,33,7.666666666666667
high five by janet evanovich,33,8.787878787878787
circle of friends by maeve binchy,33,8.272727272727273
seven up by janet evanovich,33,8.484848484848484
tell no one by harlan coben,33,8.212121212121213
bastard out of carolina by dorothy allison,33,8.303030303030303
open house by elizabeth berg,33,7.181818181818182
three to get deadly by janet evanovich,33,8.272727272727273
pop goes the weasel by james patterson,32,7.375
gap creek by robert morgan,32,7.0
pandora by anne rice,32,6.96875
the crimson petal and the white by michel faber,32,7.03125
q is for quarry by sue grafton,32,7.84375
thinner by stephen king,32,7.875
the world according to garp by john irving,32,8.0
the english patient by michael ondaatje,32,7.65625
ellen foster by kaye gibbons,32,7.375
what to expect the first year by arlene eisenberg,32,8.53125
their eyes were watching god by zora neale hurston,32,8.75
anne frank by anne frank,32,9.0625
guilty pleasures by laurell k . hamilton,32,7.625
contact by carl sagan,32,8.25
on writing by stephen king,32,8.4375
watchers by dean r . koontz,32,8.21875
a lesson before dying by ernest j . gaines,32,7.5
the time traveler's wife by audrey niffenegger,32,8.875
the body farm by patricia daniels cornwell,32,8.28125
atlas shrugged by ayn rand,32,8.03125
fear nothing by dean koontz,32,7.78125
politically correct bedtime stories by james finn garner,31,8.064516129032258
what looks like crazy on an ordinary day by pearl cleage,31,7.612903225806452
frankenstein by mary wollstonecraft shelley,31,8.35483870967742
bleachers by john grisham,31,6.451612903225806
scarlet feather by maeve binchy,31,7.161290322580645
four blondes by candace bushnell,31,5.225806451612903
skinny legs and all by tom robbins,31,7.967741935483871
cause of death by patricia daniels cornwell,31,7.645161290322581
middlesex by jeffrey eugenides,31,8.806451612903226
couplehood by paul reiser,31,8.03225806451613
back roads by tawni o'dell,30,7.1
moonlight becomes you by mary higgins clark,30,7.5
the sweet potato queens' book of love by jill conner browne,30,7.966666666666667
the eye of the world by robert jordan,30,8.033333333333333
tara road by maeve binchy,30,7.766666666666667
three fates by nora roberts,30,7.8
the last precinct by patricia cornwell,30,7.566666666666666
when the wind blows by james patterson,30,6.833333333333333
slaughterhouse five or the children's crusade by kurt vonnegut,30,8.3
the hunt for red october by tom clancy,30,8.133333333333333
portrait of a killer by patricia cornwell,30,6.366666666666666
cryptonomicon by neal stephenson,30,8.166666666666666
pigs in heaven by barbara kingsolver,30,7.566666666666666
vinegar hill by a . manette ansay,30,6.333333333333333
violets are blue by james patterson,30,7.933333333333334
cujo by stephen king,30,7.266666666666667
behind the scenes at the museum by kate atkinson,30,7.566666666666666
alias grace by margaret atwood,30,8.2
wizard and glass by stephen king,29,8.172413793103448
island of the blue dolphins by scott o'dell,29,8.448275862068966
falling angels by tracy chevalier,29,7.551724137931035
jonathan livingston seagull by richard bach,29,8.448275862068966
the eyes of the dragon by stephen king,29,7.758620689655173
madame bovary by gustave flaubert,29,7.379310344827586
false memory by dean r . koontz,29,7.517241379310345
visions of sugar plums by janet evanovich,29,7.827586206896552
life's little instruction book by h . jackson brown,29,7.862068965517241
the giver by lois lowry,29,9.03448275862069
of mice and men by john steinbeck,29,8.448275862068966
bee season by myla goldberg,29,7.241379310344827
"river , cross my heart by breena clarke",29,7.0
hornet's nest by patricia daniels cornwell,29,6.551724137931035
i don't know how she does it by allison pearson,28,7.642857142857143
catch 22 by joseph heller,28,8.571428571428571
little women by louisa may alcott,28,8.964285714285714
the bell jar by sylvia plath,28,8.035714285714286
the door to december by dean r . koontz,28,7.785714285714286
carolina moon by nora roberts,28,7.714285714285714
stardust by neil gaiman,28,8.535714285714286
p is for peril by sue grafton,28,6.892857142857143
the shining by stephen king,28,8.0
year of wonders by geraldine brooks,28,8.142857142857142
phantoms by dean r . koontz,28,7.535714285714286
still life with woodpecker by tom robbins,28,7.285714285714286
jennifer government by max barry,28,7.75
under the tuscan sun by frances mayes,28,6.857142857142857
chicken soup for the woman's soul by jack canfield,28,7.392857142857143
tom clancy's op - center by tom clancy,28,6.75
the other boleyn girl by philippa gregory,28,8.678571428571429
interpreter of maladies by jhumpa lahiri,27,8.666666666666666
call of the wild by jack london,27,8.11111111111111
face the fire by nora roberts,27,8.481481481481481
the adventures of huckleberry finn by mark twain,27,8.222222222222221
heaven and earth by nora roberts,27,8.296296296296296
the bourne identity by robert ludlum,27,7.481481481481482
wifey by judy blume,27,6.666666666666667
a man named dave by david j . pelzer,27,8.0
the valley of horses by jean m . auel,27,7.814814814814815
lucky man by michael j . fox,27,8.333333333333334
southern cross by patricia daniels cornwell,27,6.814814814814815
einstein's dreams by alan lightman,27,8.333333333333334
heart of the sea by nora roberts,27,8.185185185185185
sisterhood of the traveling pants by ann brashares,27,8.333333333333334
"life , the universe and everything by douglas adams",27,8.703703703703704
stranger in a strange land by robert a . heinlein,27,8.555555555555555
animal dreams by barbara kingsolver,27,7.851851851851852
last chance saloon by marian keyes,27,8.037037037037036
the rapture of canaan by sheri reynolds,27,7.851851851851852
lullaby by chuck palahniuk,27,8.11111111111111
the scarlet letter by nathaniel hawthorne,27,6.666666666666667
atonement by ian mcewan,27,7.814814814814815
nightmares & dreamscapes by stephen king,27,7.518518518518518
blackberry wine by joanne harris,26,7.230769230769231
the idiot girls' action adventure club by laurie notaro,26,7.884615384615385
the dress lodger by sheri holman,26,7.576923076923077
songs in ordinary time by mary mcgarry morris,26,6.346153846153846
five quarters of the orange by joanne harris,26,7.153846153846154
the four agreements by don miguel ruiz,26,7.538461538461538
one true thing by anna quindlen,26,7.6923076923076925
mr . murder by dean r . koontz,26,7.1923076923076925
patriot games by tom clancy,26,8.115384615384615
by the light of the moon by dean koontz,26,8.307692307692308
scarlett by alexandra ripley,26,6.8076923076923075
d is for deadbeat by sue grafton,26,7.6923076923076925
all that remains by patricia d . cornwell,26,8.538461538461538
wizard's first rule by terry goodkind,26,8.153846153846153
a kiss of shadows by laurell k . hamilton,26,8.423076923076923
christine by stephen king,26,8.076923076923077
cat's cradle by kurt vonnegut,26,8.346153846153847
the color of water by james mcbride,26,8.5
ashes to ashes by tami hoag,26,7.076923076923077
strangers by dean r . koontz,26,7.576923076923077
angelas ashes by frank mccourt,26,7.846153846153846
the bachman books by stephen king,26,8.038461538461538
white teeth by zadie smith,26,7.538461538461538
my sweet audrina by v . c . andrews,25,7.52
oryx and crake by margaret atwood,25,7.84
i is for innocent by sue grafton,25,7.6
beach music by pat conroy,25,7.08
the mammoth hunters by jean m . auel,25,7.84
mr . maybe by jane green,25,7.72
the laughing corpse by laurell k . hamilton,25,8.12
the saving graces by patricia gaffney,25,7.88
blue diary by alice hoffman,25,7.32
flesh and blood by jonathan kellerman,25,7.64
the magician's nephew by c . s . lewis,25,8.68
n is for noose by sue grafton,25,7.44
the thorn birds by colleen mccullough,25,8.32
the boy next door by meggin cabot,25,8.2
restaurant at the end of the universe by douglas adams,25,8.88
milkrun by sarah mlynowski,25,6.72
flowers for algernon by daniel keyes,25,8.44
the amazing adventures of kavalier & clay by michael chabon,25,8.36
key of light by nora roberts,25,7.96
to the nines by janet evanovich,25,8.76
g is for gumshoe by sue grafton,25,8.04
jack & jill by james patterson,25,7.88
seven habits of highly effective people by stephen r . covey,25,7.44
postmortem by patricia cornwell,25,8.2
diary of a mad bride by laura wolf,24,7.583333333333333
morder ohne gesicht by henning mankell,24,7.541666666666667
the house of the spirits by isabel allende,24,8.708333333333334
quentins by maeve binchy,24,7.791666666666667
the loop by nicholas evans,24,7.083333333333333
big trouble by dave barry,24,7.625
the bluest eye by toni morrison,24,7.458333333333333
"rich dad , poor dad by robert t . kiyosaki",24,8.291666666666666
the dead zone by stephen king,24,7.333333333333333
fortune's rocks by anita shreve,24,7.833333333333333
"men are from mars , women are from venus by john gray",24,7.208333333333333
cat's eye by margaret atwood,24,7.916666666666667
four blind mice by james patterson,24,8.5
nights in rodanthe by nicholas sparks,24,7.75
plainsong by kent haruf,24,7.916666666666667
the andromeda strain by michael crichton,24,7.333333333333333
the amber spyglass by philip pullman,24,8.458333333333334
it was on fire when i lay down on it by robert fulghum,24,8.0
practical magic by alice hoffman,24,8.041666666666666
84 charing cross road by helene hanff,24,9.333333333333334
generation x by douglas coupland,24,7.5
lolita by vladimir nabokov,24,8.375
sex & the city by candace bushnell,24,6.291666666666667
the shelters of stone by jean m . auel,24,7.666666666666667
lies and the lying liars who tell them by al franken,24,8.666666666666666
night shift by stephen king,24,7.625
voyager by diana gabaldon,24,8.916666666666666
"welcome to the world , baby girl by fannie flagg",24,8.0
blessings by anna quindlen,24,7.208333333333333
the beach by alex garland,23,7.304347826086956
how stella got her groove back by terry mcmillan,23,7.434782608695652
the voice of the night by dean r . koontz,23,6.608695652173913
the mark by tim lahaye,23,8.173913043478262
e is for evidence by sue grafton,23,8.08695652173913
the godfather by mario puzo,23,8.695652173913043
the vampire armand by anne rice,23,7.217391304347826
the bonfire of the vanities by tom wolfe,23,7.3478260869565215
the bad place by dean r . koontz,23,7.782608695652174
night by elie wiesel,23,8.782608695652174
before i say good - bye by mary higgins clark,23,7.478260869565218
a year in provence by peter mayle,23,7.826086956521739
the angel of darkness by caleb carr,23,7.608695652173913
j is for judgment by sue grafton,23,8.130434782608695
the shipping news by annie proulx,23,8.0
the professor and the madman by simon winchester,23,7.869565217391305
smart women by judy blume,23,7.130434782608695
k is for killer by sue grafton,23,7.565217391304348
fight club by chuck palahniuk,23,8.608695652173912
notes from a small island by bill bryson,23,7.913043478260869
waiting by ha jin,23,7.130434782608695
a wizard of earthsea by ursula k . le guin,23,8.043478260869565
cat & mouse by james patterson,23,8.043478260869565
the worst - case scenario survival handbook by joshua piven,23,7.217391304347826
the dive from clausen's pier by ann packer,23,7.565217391304348
"loves music , loves to dance by mary higgins clark",23,8.08695652173913
the villa by nora roberts,23,7.6521739130434785
song of solomon by toni morrison,23,7.695652173913044
a case of need by michael crichton,23,7.0
the search by iris johansen,23,7.956521739130435
the dilbert principle by scott adams,22,8.0
icebound by dean r . koontz,22,7.545454545454546
servant of the bones by anne rice,22,7.0
story of o by pauline reage,22,7.090909090909091
"eats , shoots & leaves by lynne truss",22,8.5
"breath , eyes , memory by edwidge danticat",22,7.090909090909091
angels by marian keyes,22,7.590909090909091
great expectations by charles dickens,22,7.7272727272727275
you belong to me by mary higgins clark,22,7.090909090909091
word freak by stefan fatsis,22,7.954545454545454
soul harvest by tim lahaye,22,8.318181818181818
4 blondes by candace bushnell,22,5.636363636363637
a beautiful mind by sylvia nasar,22,7.681818181818182
breathing lessons by anne tyler,22,7.454545454545454
the honk and holler opening soon by billie letts,22,7.954545454545454
a game of thrones by george r . r . martin,22,8.454545454545455
cry to heaven by anne rice,22,7.636363636363637
why girls are weird by pamela ribon,22,8.545454545454545
daisy fay and the miracle man by fannie flagg,22,7.818181818181818
the reptile room by lemony snicket,22,8.090909090909092
midnight bayou by nora roberts,22,8.227272727272727
rebecca by daphne du maurier,22,8.0
where the red fern grows by wilson rawls,22,9.181818181818182
evening class by maeve binchy,22,8.454545454545455
round ireland with a fridge by tony hawks,22,8.045454545454545
from the corner of his eye by dean koontz,22,8.363636363636363
"o"" is for outlaw"" by sue grafton",22,7.2727272727272725
a thousand acres by jane smiley,22,7.954545454545454
the lunatic cafe by laurell k . hamilton,22,8.272727272727273
black hawk down by mark bowden,21,8.047619047619047
see jane date by melissa senate,21,7.095238095238095
hideaway by dean r . koontz,21,7.476190476190476
tears of the moon by nora roberts,21,8.285714285714286
the jester by james patterson,21,7.619047619047619
the gift by danielle steel,21,7.9523809523809526
the prince of tides by pat conroy,21,7.857142857142857
the lust lizard of melancholy cove by christopher moore,21,7.857142857142857
presumed innocent by scott turow,21,7.619047619047619
waiting to exhale by terry mcmillan,21,7.285714285714286
the bridge across forever by richard bach,21,7.619047619047619
without remorse by tom clancy,21,7.809523809523809
full tilt by janet evanovich,21,7.285714285714286
snow crash by neal stephenson,21,8.380952380952381
the secret garden by frances hodgson burnett,21,8.523809523809524
morality for beautiful girls by alexander mccall smith,21,8.142857142857142
dr . death by jonathan kellerman,21,7.571428571428571
on a pale horse by piers anthony,21,8.142857142857142
watermelon by marian keyes,21,7.904761904761905
the robber bride by margaret atwood,21,7.619047619047619
postmortem by patricia daniels cornwell,21,7.809523809523809
mother of pearl by melinda haynes,21,7.095238095238095
assassins by tim lahaye,21,7.571428571428571
foucault's pendulum by umberto eco,21,8.523809523809524
i know why the caged bird sings by maya angelou,21,8.333333333333334
the river king by alice hoffman,21,7.476190476190476
five days in paris by danielle steel,21,7.190476190476191
the eyes of darkness by dean r . koontz,21,8.19047619047619
shopaholic ties the knot by sophie kinsella,21,7.190476190476191
narcissus in chains by laurell k . hamilton,21,8.095238095238095
house of leaves by mark z . danielewski,20,8.45
saving faith by david baldacci,20,7.3
what dreams may come by richard matheson,20,7.9
barrel fever by david sedaris,20,7.4
the macgregors by nora roberts,20,8.5
geek love by katherine dunn,20,7.7
circus of the damned by laurell k . hamilton,20,8.6
obsidian butterfly by laurell k . hamilton,20,8.15
holidays on ice by david sedaris,20,8.1
the bachelor by carly phillips,20,7.05
c is for corpse by sue grafton,20,8.5
wish you well by david baldacci,20,7.55
sole survivor by dean koontz,20,7.5
a patchwork planet by anne tyler,20,7.3
back when we were grownups by anne tyler,20,6.95
the little friend by donna tartt,20,6.3
jewels of the sun by nora roberts,20,8.25
russendisko by wladimir kaminer,20,6.5
a separate peace by john knowles,20,8.0
the ghost by danielle steel,20,7.3
foundation by isaac asimov,20,7.9
the outsiders by s . e . hinton,20,8.55
the sisterhood of the traveling pants by ann brashares,20,7.35
the sum of all fears by tom clancy,20,7.6
the color of magic by terry pratchett,20,7.45
the waste lands by stephen king,20,8.95
taltos by anne rice,20,7.35
fast women by jennifer crusie,20,7.9
stolen lives by malika oufkir,20,7.75
chosen prey by john sandford,20,7.95
lady of avalon by marion zimmer bradley,20,7.65
monster by jonathan kellerman,20,7.05
i capture the castle by dodie smith,20,8.0
mostly harmless by douglas adams,20,7.75
candide by francois m . voltaire,20,7.8
sick puppy by carl hiaasen,20,7.9
a wind in the door by madeleine l'engle,20,8.45
choke by chuck palahniuk,20,8.4
drums of autumn by diana gabaldon,20,8.55
perfume by patrick suskind,20,8.7
the two dead girls by stephen king,20,8.5
the fourth hand by john irving,20,6.95
the restaurant at the end of the universe by douglas adams,19,8.368421052631579
the big bad wolf by james patterson,19,7.578947368421052
free by paul vincent,19,8.789473684210526
anne of avonlea by l . m . montgomery,19,8.789473684210526
f is for fugitive by sue grafton,19,7.7894736842105265
the stranger by albert camus,19,8.68421052631579
midnight voices by john saul,19,8.105263157894736
chicken soup for the pet lover's soul by jack canfield,19,8.157894736842104
