,Book-Author,Book-Title,Title-Substring,ISBN
8982,a . s . byatt,besessen,besessen,3518388762
3064,a . s . byatt,the game,the game,0679742565
4165,a . scott berg,kate remembered,kate remembered,0399151648
2643,a . sewell,black beauty ( wordsworth collection ),black beauty,1853261092
8034,a . verghese,my own country : a doctor's story,my own country,0679752927
5545,a . a . milne,winnie - the - pooh,winnie - the - pooh,0140361219
16526,a . c . crispin,sarek,sarek,0671795619
4681,a . c . crispin,"the eyes of the beholders ( star trek : the next generation , no . 13 )",the eyes of the beholders,0671700103
15231,a . e . w . mason,the four feathers,the four feathers,0743448219
7552,a . m . homes,the end of alice,the end of alice,0684827107
7114,a . n . roquelaure,beauty's punishment ( sleeping beauty ),beauty's punishment,0452281431
7113,a . n . roquelaure,beauty's release : the sequel to the claiming of sleeping beauty and beauty's punishment ( sleeping beauty ),beauty's release,0452281458
3099,a . n . roquelaure,the claiming of sleeping beauty ( sleeping beauty ),the claiming of sleeping beauty,0452281423
4466,a . s . byatt,babel tower,babel tower,0679405135
165,a . s . byatt,angels & insects : two novellas,angels & insects,0679751343
3094,a . s . byatt,possession : a romance,possession,0679735909
8494,aaron naparstek,honku : the zen antidote to road rage,honku,1400060265
262,ad hudler,househusband,househusband,0345451260
16924,ad hudler,southern living ( ballantine reader's circle ),southern living,0345451295
4887,adam haslett,you are not a stranger here ( today show book club #2 ),you are not a stranger here,0385509529
6282,adam haslett,you are not a stranger here : stories,you are not a stranger here,0385720726
14072,adriana trigiani,big cherry holler,big cherry holler,0375506179
5274,adriana trigiani,big stone gap : a novel,big stone gap,0375504036
2240,adriana trigiani,"lucia , lucia : a novel","lucia , lucia",1400060052
3109,adriana trigiani,milk glass moon ( ballantine reader's circle ),milk glass moon,0345445856
6926,adriana trigiani,milk glass moon : a big stone gap novel ( big stone gap novels ( hardcover ) ),milk glass moon,0375506187
2782,al franken,"i'm good enough , i'm smart enough , and doggone it , people like me ! : daily affirmations by stuart smalley","i'm good enough , i'm smart enough , and doggone it , people like me",0440504708
4610,alan furst,"world at night , the","world at night , the",0679413138
18014,alan hollinghurst,swimming pool library ( vintage international ),swimming pool library,0679722564
7185,albert camus,the fall ( vintage international ),the fall,0679720227
8653,albert camus,the plague ( vintage international ),the plague,0679720219
2974,albert camus,the stranger,the stranger,0679720200
5714,alex haley,roots,roots,0440174643
137,alexander mccall smith,the kalahari typing school for men ( no . 1 ladies' detective agency ),the kalahari typing school for men,140003180X
11919,alexandra fuller,don't let's go to the dogs tonight : an african childhood,don't let's go to the dogs tonight,0375758992
6427,alexandra fuller,don't let's go to the dogs tonight : an african childhood,don't let's go to the dogs tonight,0375507507
796,alexandre dumas,the count of monte cristo ( bantam classics ),the count of monte cristo,0553213504
1870,alexandre dumas,the three musketeers ( bantam classics ),the three musketeers,0553213377
3536,ali smith,hotel world,hotel world,0385722109
16135,alice borchardt,"the dragon queen ( tales of guinevere , book 1 )",the dragon queen,0345443993
6647,alice borchardt,the silver wolf,the silver wolf,0345423615
5706,alice hoffman,the probable future,the probable future,0385507607
7017,alice mcdermott,a bigamist's daughter,a bigamist's daughter,0385333293
3424,alice steinbach,without reservations : the travels of an independent woman,without reservations,0375758453
447,allan zola kronzek,the sorcerer's companion : a guide to the magical world of harry potter,the sorcerer's companion,0767908473
7789,allen mandelbaum,the aeneid of virgil ( bantam classics ),the aeneid of virgil,0553210416
1964,allison pearson,i don't know how she does it,i don't know how she does it,0375713751
17732,alvah simon,north to the night : a spiritual odyssey in the arctic,north to the night,076790446X
8602,amanda cross,the players come again ( kate fansler novels ( paperback ) ),the players come again,034536998X
13681,amelia atwater - rhodes,demon in my view ( laurel - leaf books ),demon in my view,0440228840
11756,amelia atwater - rhodes,hawksong : the kiesha'ra : volume one,hawksong,0385730713
15629,andre iii dubus,the house of sand and fog ( vintage contemporaries ( paperback ) ),the house of sand and fog,1400077354
11251,andrew md weil,spontaneous healing : how to discover and enhance your body's natural ability to maintain and heal itself,spontaneous healing,0449910644
8624,anita brookner,providence ( vintage contemporaries ),providence,0679738142
13131,ann benson,the plague tales,the plague tales,0440225108
119,ann brashares,sisterhood of the traveling pants,sisterhood of the traveling pants,0385730586
3480,ann brashares,the second summer of the sisterhood,the second summer of the sisterhood,0385729340
9888,ann brashares,the sisterhood of the traveling pants ( readers circle ),the sisterhood of the traveling pants,0440229707
4308,ann coulter,slander : liberal lies about the american right,slander,1400046610
11875,ann coulter,treason : liberal treachery from the cold war to the war on terrorism,treason,1400050308
1626,ann packer,the dive from clausen's pier ( alex awards ),the dive from clausen's pier,0375412824
1084,ann packer,the dive from clausen's pier : a novel ( vintage contemporaries ( paperback ) ),the dive from clausen's pier,0375727132
2819,anna quindlen,a short guide to a happy life,a short guide to a happy life,0375504613
252,anna quindlen,black and blue,black and blue,0440226104
3885,anna quindlen,black and blue ( oprah's book club ),black and blue,0385333137
7015,anna quindlen,black and blue : a novel,black and blue,0375500510
2434,anna quindlen,blessings,blessings,0375502238
15218,anna quindlen,blessings,blessings,0345468694
3045,anna quindlen,blessings : a novel,blessings,0812969812
6236,anna sewell,black beauty ( children's classics ),black beauty,0517189585
688,anne frank,anne frank : the diary of a young girl,anne frank,0553296981
14538,anne mccaffrey,the lady,the lady,0345356748
7891,anne mccaffrey,the white dragon ( dragonriders of pern vol 3 ),the white dragon,0345341678
17430,anne morrow lindbergh,gift from the sea : 50th anniversary edition,gift from the sea,0679406832
10562,anne perry,a christmas journey,a christmas journey,034546673X
3294,anne perry,ashworth hall ( charlotte & thomas pitt novels ( paperback ) ),ashworth hall,0449000869
15740,anne perry,death of a stranger,death of a stranger,0345440064
16700,anne perry,death of a stranger,death of a stranger,0345440056
9983,anne perry,seven dials,seven dials,0345440072
16378,anne perry,seven dials,seven dials,0345440080
8611,anne rampling,exit to eden,exit to eden,0440123925
1174,anne rice,"blackwood farm ( rice , anne , vampire chronicles . )",blackwood farm,0345443683
3875,anne rice,blood canticle ( the vampire chronicles ),blood canticle,037541200X
9334,anne rice,interview with the vampire : anniversary edition,interview with the vampire,0394498216
7355,anne rice,"memnoch the devil ( rice , anne , vampire chronicles , 5th bk . )",memnoch the devil,0345389409
5530,anne rice,memnoch the devil : the vampire chronicles ( vampire chronicles ),memnoch the devil,0679441018
1804,anne rice,pandora : new tales of the vampires,pandora,0375401598
6501,anne rice,servant of the bones,servant of the bones,0345409663
15824,anne rice,taltos,taltos,0345394712
325,anne rice,"the vampire lestat ( vampire chronicles , book ii )",the vampire lestat,0345313860
605,anne rice,the witching hour ( lives of the mayfair witches ),the witching hour,0345384466
3538,anne rice,the witching hour ( lives of the mayfair witches ),the witching hour,0394587863
7001,anne rice,"vampire lestat ( chronicles of the vampires , 2nd book )",vampire lestat,0394534433
2413,anne tyler,a patchwork planet,a patchwork planet,080411918X
911,anne tyler,back when we were grownups : a novel ( ballantine reader's circle ),back when we were grownups,0345446860
3470,anne tyler,back when we were grownups : a novel,back when we were grownups,0375412530
5261,anne tyler,dinner at the homesick restaurant : a novel,dinner at the homesick restaurant,0449911594
5929,anne tyler,if morning ever comes : a novel,if morning ever comes,0449911780
2862,anne tyler,saint maybe,saint maybe,0804108749
9257,anne tyler,the accidental tourist : a novel ( ballantine reader's circle ),the accidental tourist,0345452003
3816,anne tyler,the amateur marriage : a novel,the amateur marriage,1400042070
14445,annette curtis klause,blood and chocolate,blood and chocolate,0440226686
16724,arthur c . clarke,"time's eye ( a time odyssey , book 1 )",time's eye,0345452488
12620,arthur koestler,darkness at noon,darkness at noon,0553265954
10,arthur phillips,prague : a novel,prague,0375759778
5209,arthur phillips,prague : a novel,prague,0375507876
752,arturo perez - reverte,the flanders panel,the flanders panel,0553377868
1731,ayn rand,rand ayn : atlas shrugged ( signet shakespeare ),rand ayn,0451132157
2592,azar nafisi,reading lolita in tehran : a memoir in books,reading lolita in tehran,0375504907
13439,aaron allston,"solo command ( star wars : x - wing series , book 7 )",solo command,0553579002
9485,aaron allston,"wraith squadron ( star wars : x - wing series , book 5 )",wraith squadron,0553578944
8725,aaron elkins,curses !,curses,0445408642
14684,aaron elkins,murder in the queen's armes ( a gideon oliver mystery ),murder in the queen's armes,0445409134
17946,aaron elkins,old bones : a gideon oliver mystery,old bones,0445406879
7960,abbas milani,tales of two cities : a persian memoir,tales of two cities,0934211477
11558,"abbie f . , dr . salny",the mensa genius quiz - a - day book,the mensa genius quiz - a - day book,0201135493
7428,abby bardi,the book of fred : a novel,the book of fred,0743411943
14134,abigail thomas,an actual life,an actual life,068483751X
17068,academy of american poets,fifty years of american poetry : anniversary volume for the academy of american poets,fifty years of american poetry,0440218772
2691,adam barrow,flawless,flawless,0451188497
554,adam davies,the frog king : a love story,the frog king,1573229385
4609,adam gopnik,paris to the moon,paris to the moon,0375758232
13908,adam gopnik,paris to the moon,paris to the moon,0679444920
17234,adams,per anhalter durch die galaxis,per anhalter durch die galaxis,3548224911
14585,adams,per anhalter durch due galaxis,per anhalter durch due galaxis,3807701710
7051,adele ashworth,when it's perfect ( avon romantic treasures ),when it's perfect,0380818078
1365,adele faber,how to talk so kids will listen and listen so kids will talk,how to talk so kids will listen and listen so kids will talk,0380570009
16125,adele faber,siblings without rivalry : how to help your children live together so you can live too,siblings without rivalry,0380799006
286,adele lang,confessions of a sociopathic social climber : the katya livingston chronicles ( katya livingston chronicles ( hardcover ) ),confessions of a sociopathic social climber,0312288115
15953,adele lang,confessions of a sociopathic social climber : the katya livingston chronicles,confessions of a sociopathic social climber,0312313616
9861,adeline yen mah,chinese cinderella : the true story of an unwanted daughter ( laurel - leaf books ),chinese cinderella,0440228654
5375,adeline yen mah,falling leaves brit edition,falling leaves brit edition,0140265988
256,adeline yen mah,falling leaves : the true story of an unwanted chinese daughter,falling leaves,0767903579
16062,adriaan van dis,palmwijn,palmwijn,9074336256
13107,adrian havill,born evil ( claremont studies in the philosophy of religion ),born evil,0312978901
7321,adrian nicole leblanc,"random family : love , drugs , trouble , and coming of age in the bronx",random family,0684863871
5135,adriana trigiana,big cherry holler,big cherry holler,0743430344
5273,adriana trigiani,big cherry holler : a big stone gap novel ( ballantine reader's circle ),big cherry holler,0345445848
3361,adriana trigiani,big stone gap,big stone gap,0345459202
902,adriana trigiani,big stone gap : a novel ( ballantine reader's circle ),big stone gap,0345438329
17098,adrienne rich,the fact of a doorframe : poems selected and new 1950 - 1984,the fact of a doorframe,0393310752
14601,adrienne rich,"what is found there : notebooks on poetry and politics , expanded edition",what is found there,0393312461
8493,agatha christie,a caribbean mystery ( miss marple mysteries ( paperback ) ),a caribbean mystery,0451199928
8466,agatha christie,a murder is announced ( miss marple mysteries ( paperback ) ),a murder is announced,0451201191
8476,agatha christie,a pocket full of rye ( miss marple mysteries ( paperback ) ),a pocket full of rye,0451199863
1323,agatha christie,and then there were none,and then there were none,0671704664
3172,agatha christie,and then there were none,and then there were none,0425129586
8500,agatha christie,and then there were none,and then there were none,0671552228
2317,agatha christie,and then there were none : a novel,and then there were none,0312979479
8507,agatha christie,appointment with death : a hercule poirot mystery ( hercule poirot mysteries ( paperback ) ),appointment with death,0425108589
14164,agatha christie,at bertram's hotel,at bertram's hotel,0671543857
13034,agatha christie,curtain,curtain,067180720X
10827,agatha christie,cards on the table ( hercule poirot mysteries ( paperback ) ),cards on the table,0425105679
8465,agatha christie,death in the clouds,death in the clouds,0425099148
9385,agatha christie,death on the nile,death on the nile,0061003697
15889,agatha christie,death on the nile ( hercule poirot mysteries ( paperback ) ),death on the nile,0425173739
16461,agatha christie,diez negritos,diez negritos,8427200153
15085,agatha christie,dix petits negres,dix petits negres,2702424694
13125,agatha christie,double sin and other stories,double sin and other stories,0425067815
8473,agatha christie,dumb witness ( hercule poirot mysteries ( paperback ) ),dumb witness,0425098540
9896,agatha christie,elephants can remember ( hercule poirot mysteries ( paperback ) ),elephants can remember,0425067823
8464,agatha christie,evil under the sun ( hercule poirot mysteries ( paperback ) ),evil under the sun,0425129608
8141,agatha christie,five little pigs ( hercule poirot mysteries ( paperback ) ),five little pigs,0425093255
11738,agatha christie,le crime de l'orient - express,le crime de l'orient - express,2253010219
14071,agatha christie,mirror crackd,mirror crackd,0671413570
10828,agatha christie,murder at the vicarage ( agatha christie mysteries collection ( library ) ),murder at the vicarage,0425094537
17942,agatha christie,murder at the vicarage ( miss marple mysteries ( paperback ) ),murder at the vicarage,0451201159
8299,agatha christie,murder in mesopotamia ( hercule poirot mysteries ( paperback ) ),murder in mesopotamia,0425103633
16907,agatha christie,murder on the links,murder on the links,0425067947
9376,agatha christie,murder on the orient express,murder on the orient express,0061002747
15706,agatha christie,murder on the orient express,murder on the orient express,0671523686
1227,agatha christie,murder on the orient express ( hercule poirot mysteries ( paperback ) ),murder on the orient express,0425173755
3398,agatha christie,n or m ?,n or m,0425098451
12159,agatha christie,"one , two , buckle my shoe","one , two , buckle my shoe",0425105709
12184,agatha christie,sad cypress ( hercule poirot mysteries ( paperback ) ),sad cypress,0425098532
15212,agatha christie,sleeping murder ( miss marple mysteries ( paperback ) ),sleeping murder,0451200195
10809,agatha christie,sparkling cyanide,sparkling cyanide,0061003794
8471,agatha christie,taken at the flood ( hercule poirot mysteries ( paperback ) ),taken at the flood,042506803X
3178,agatha christie,the a . b . c . murders,the a . b . c . murders,042513024X
1228,agatha christie,the body in the library ( miss marple mysteries ( paperback ) ),the body in the library,0451199871
16079,agatha christie,the golden ball and other stories,the golden ball and other stories,0425099229
16234,agatha christie,the harlequin tea set and other stories,the harlequin tea set and other stories,0425165159
10826,agatha christie,the hollow ( hercule poirot mysteries ( paperback ) ),the hollow,042506784X
7372,agatha christie,the labors of hercules ( hercule poirot mysteries ( paperback ) ),the labors of hercules,0425067858
3134,agatha christie,the man in the brown suit ( agatha christie mysteries collection ( paperback ) ),the man in the brown suit,0425067866
12021,agatha christie,the man in the brown suit ( st . martin's minotaur mysteries ),the man in the brown suit,0312979487
13155,agatha christie,the murder of roger ackroyd ( hercule poirot mysteries ( paperback ) ),the murder of roger ackroyd,0425173895
3831,agatha christie,the mysterious affair at styles,the mysterious affair at styles,0425129616
16261,agatha christie,the mysterious mr . quin ( hercule poirot mysteries ( paperback ) ),the mysterious mr . quin,0425103536
8492,agatha christie,the regatta mystery and other stories,the regatta mystery and other stories,0425100413
12658,agatha christie,the seven dials mystery ( st . martin's minotaur mysteries ),the seven dials mystery,0312979770
7852,agatha christie,the sittaford mystery,the sittaford mystery,0425104060
11770,agatha christie,the thirteen problems ( the tuesday club murders ),the thirteen problems,0425089037
2686,agatha christie,the unexpected guest : a mystery,the unexpected guest,0312975120
2792,agatha christie,the witness for the prosecution and other stories,the witness for the prosecution and other stories,0425068099
8472,agatha christie,three act tragedy ( hercule poirot mysteries ( paperback ) ),three act tragedy,0425091805
2685,agatha christie,three blind mice and other stories,three blind mice and other stories,0425068064
9667,agatha christie,why didn't they ask evans ?,why didn't they ask evans,0425098559
18093,agatha christie,why didn't they ask evans ? ( st . martin's minotaur mysteries ),why didn't they ask evans,0312981597
12883,agnes desarthe,five photos of my wife,five photos of my wife,0007100922
14868,agota kristof,grand cahier,grand cahier,2020239264
3257,ahdaf soueif,the map of love,the map of love,0747545634
13680,ahdaf soueif,the map of love,the map of love,0385720114
15520,ahmed rashid,"taliban : militant islam , oil and fundamentalism in central asia",taliban,0300089023
15056,ai yazawa,paradise kiss vol 1,paradise kiss vol 1,1931514607
12889,"aidan , macfarlane",the diary of a teenage health freak,the diary of a teenage health freak,0192860836
10307,aileen schumacher,affirmative reaction,affirmative reaction,0373263554
6848,aimee bender,an invisible sign of my own,an invisible sign of my own,0385492243
18027,aimee bender,the girl in the flammable skirt : stories,the girl in the flammable skirt,0385492162
15908,ake edwardson,"allem , was gestorben war","allem , was gestorben war",3548680542
12243,akhil sharma,an obedient father,an obedient father,0156012030
6027,akif pirincci,der rumpf . roman,der rumpf . roman,344242366X
13355,akif pirincci,felidae . roman,felidae . roman,3442092981
12479,akiyuki nosaka,la tombe des lucioles,la tombe des lucioles,2877302202
142,al franken,lies and the lying liars who tell them : a fair and balanced look at the right,lies and the lying liars who tell them,0525947647
9568,al franken,"oh , the things i know ! a guide to success , or , failing that , happiness","oh , the things i know",052594673X
15222,al franken,"oh , the things i know ! : a guide to success , or , failing that , happiness","oh , the things i know",0452284503
675,al franken,rush limbaugh is a big fat idiot : and other observations,rush limbaugh is a big fat idiot,0385314744
5828,al franken,rush limbaugh is a big fat idiot : and other observations,rush limbaugh is a big fat idiot,044022330X
5739,al roker,don't make me stop this car ! : adventures in fatherhood,don't make me stop this car,0684868938
17474,al sarrantonio,999 : new stories of horror and suspense,999,0380977400
2697,alain de botton,how proust can change your life : not a novel,how proust can change your life,0679779159
9759,alain de botton,on love,on love,0802134092
549,alain de botton,the art of travel,the art of travel,0375420827
392,alain - fournier,le grand meaulnes ( classiques de poche ),le grand meaulnes,2253005274
8212,alan alexander milne,the house at pooh corner,the house at pooh corner,0525444440
17360,alan bennett,the clothes they stood up in and the lady in the van ( today show book club #5 ),the clothes they stood up in and the lady in the van,0812969650
11704,alan bennett,the clothes they stood up in,the clothes they stood up in,0375503064
10510,alan bennett,"the clothes they stood up in and the lady in the van : and , the lady in the van",the clothes they stood up in and the lady in the van,0812966430
6829,alan brown,audrey hepburns neck,audrey hepburns neck,0671526723
9796,alan cairns,deadly innocence ( new comprehensive biochemistry ),deadly innocence,0446601543
1023,alan cumming,tommy's tale : a novel,tommy's tale,0060394447
15305,alan dean foster,"call to arms ( the damned , book 1 )",call to arms,0345375742
9470,alan dean foster,"carnivores of light and darkness ( journeys of the catechist , book 1 )",carnivores of light and darkness,0446606979
5426,alan dean foster,cat - a - lyst,cat - a - lyst,0441646611
8568,alan dean foster,cyber way,cyber way,0441132456
5427,alan dean foster,glory lane,glory lane,0441516645
14430,alan dean foster,life form,life form,0441002188
3296,alan dean foster,quozl,quozl,0441694543
18056,alan dean foster,reunion,reunion,0345418689
15283,alan dean foster,splinter of the mind's eye : from the adventures of luke skywalker,splinter of the mind's eye,0345320239
18001,alan dean foster,the mocking program,the mocking program,044661307X
1024,alan epstein,as the romans do : an american family's italian odyssey,as the romans do,006093395X
1581,alan garner,the owl service,the owl service,0152017984
5394,alan garner,the weirdstone of brisingamen,the weirdstone of brisingamen,0006742939
6606,alan h . cohen,why your life sucks : and what you can do about it,why your life sucks,1588720284
13718,alan hollinghurst,swimming pool library,swimming pool library,0140116109
13319,alan l . mcginnis,friendship factor : how to get closer to the people you care for,friendship factor,080661711X
2979,alan lightman,einstein's dreams,einstein's dreams,0446670111
16888,alan lightman,einstein's dreams,einstein's dreams,0679416463
15048,alan lightman,good benito,good benito,0446671606
14745,alan lightman,the diagnosis,the diagnosis,0375725504
12103,alan m . dershowitz,the advocate's devil,the advocate's devil,0446602914
15272,alan marshall,i can jump puddles ( plus s . ),i can jump puddles,0140328629
167,alan moore,"the league of extraordinary gentlemen , vol . 1","the league of extraordinary gentlemen , vol . 1",1563898586
17247,alan moore,v for vendetta,v for vendetta,0930289528
9785,alan moore,watchmen,watchmen,0930289234
11147,alan okamoto,internet for cats,internet for cats,1886411077
1500,alan paton,cry the beloved country ( scribner classic ),cry the beloved country,0020532105
2209,alan paton,cry the beloved country,cry the beloved country,0684718634
1418,alan paton,"cry , the beloved country ( oprah's book club )","cry , the beloved country",0743262174
13637,alan ryan,the penguin book of vampire stories,the penguin book of vampire stories,0140124454
17088,alan sillitoe,loneliness of the long distance runner,loneliness of the long distance runner,0586065032
2767,alan titchmarsh,mr . macgregor,mr . macgregor,0671015842
7077,alan titchmarsh,only dad,only dad,0671037390
16629,alan warner,morvern callar,morvern callar,038548741X
5533,alan watts,the book : on the taboo against knowing who you are,the book,0679723005
16051,alan watts,the book : on the taboo against knowing who you are,the book,0394718534
12389,alastair reynolds,revelation space,revelation space,0441009425
13970,albert b . facey,a fortunate life,a fortunate life,0140062254
17302,albert camus,caligula le malentendu ( folio no . 64 ),caligula le malentendu,2070360644
17084,albert camus,"chute ( folio , no 10 )",chute,2070360105
15515,albert camus,el extranjero,el extranjero,8420636940
13144,albert camus,l' etranger,l' etranger,2070393712
3835,albert camus,"l'etranger ( collection folio , 2 )",l'etranger,2070360024
876,albert camus,la peste ( folio series : no . 42 ),la peste,2070360423
11261,albert camus,the fall ( v223 ),the fall,0394702239
16390,albert camus,the myth of sisyphus and other essays ( vintage international ),the myth of sisyphus and other essays,0679733736
16417,albert camus,the plague,the plague,0394712587
9911,albert camus,the stranger,the stranger,0394700023
6570,albert goldman,the lives of john lennon,the lives of john lennon,0688047211
14458,albert - laszlo barabasi,linked : how everything is connected to everything else and what it means,linked,0452284392
10033,alcoholics anonymous,twelve steps and twelve traditions,twelve steps and twelve traditions,0916856011
8548,aldo leopold,a sand county almanac ( outdoor essays & reflections ),a sand county almanac,0345345053
8757,aldo leopold,a sand county almanac and sketches here and there ( outdoor essays & reflections ),a sand county almanac and sketches here and there,019505928X
15007,aldous huxley,ape and essence,ape and essence,0929587782
2034,aldous huxley,brave new world,brave new world,0060809833
2532,aldous huxley,brave new world,brave new world,0060929871
9425,aldous huxley,brave new world,brave new world,0060830956
1097,aldous huxley,brave new world & brave new world revisited,brave new world & brave new world revisited,0060901012
3805,aldous huxley,"fischer taschenbucher , bd . 26 , schone neue welt","fischer taschenbucher , bd . 26 , schone neue welt",3596200261
8264,aldous huxley,island,island,006080985X
9241,aldous huxley,island ( perennial classics ),island,0060085495
10694,aldous huxley,le meilleur des mondes,le meilleur des mondes,2266023101
14912,aldous huxley,mundo feliz ( ave fenix ),mundo feliz,840142321X
17599,alejo carpentier,guerra del tiempo,guerra del tiempo,8420646024
15195,aleksandr solzhenitsyn,one day in the life of ivan denisovich ( penguin modern classics ),one day in the life of ivan denisovich,0141184744
17029,alessandro baricco,castelli di rabbia,castelli di rabbia,8817106119
1165,alessandro baricco,novecento : pianiste,novecento,2070419878
5110,alessandro baricco,"novocento , un monologo","novocento , un monologo",8807813025
3732,alessandro baricco,oceano mare,oceano mare,8817106100
921,alessandro baricco,senza sangue,senza sangue,881787017X
2542,alessandro baricco,seta,seta,8817106259
2763,alessandro baricco,seta ( la scala ),seta,8817660590
8684,alessandro baricco,silk,silk,1860462588
13185,alessandro baricco,silk,silk,0375703829
2587,alessandro baricco,soie,soie,2070419657
13532,alessandro boffa,"you're an animal , viskovitz ! ( vintage international ( paperback ) )","you're an animal , viskovitz",0375704833
1800,alex garland,der strand,der strand,3442442354
13480,alex garland,la playa ( spanish language version ),la playa,8440696833
2286,alex garland,the beach,the beach,1573226521
7517,alex garland,the beach,the beach,1573220485
12781,alex garland,the beach,the beach,1573227978
7172,alex garland,the tesseract,the tesseract,1573227749
9432,alex garland,the tesseract,the tesseract,1573221090
13569,alex haley,roots,roots,0385037872
8645,alex kava,perfect evil ( maggie o'dell novels ( paperback ) ),perfect evil,1551668246
8632,alex kava,split second ( maggie o'dell novels ( paperback ) ),split second,1551669153
5808,alex kava,the soul catcher : a maggie o'dell novel,the soul catcher,1551667010
2815,alex kotlowitz,there are no children here : the story of two boys growing up in the other america,there are no children here,0385265565
7996,alex matthews,secret's shadow : the first cassidy mccabe mystery ( the first cassidy mccabe mystery ),secret's shadow,1890768030
13096,alex witchel,me times three : a novel,me times three,0743240855
7027,alexa albert,brothel : mustang ranch and its women,brothel,0375503315
7965,alexa albert,brothel : mustang ranch and its women,brothel,0449006581
11740,alexander jablokov,deepdrive,deepdrive,0380797151
5198,alexander mccall smith,ein krokodil fur mma ramotswe . der erste fall der 'no . 1 ladies detektive agency',ein krokodil fur mma ramotswe . der erste fall der 'no . 1 ladies detektive agency',3485008702
3215,alexander mccall smith,morality for beautiful girls ( no . 1 ladies detective agency ),morality for beautiful girls,1400031362
2679,alexander mccall smith,tears of the giraffe ( no . 1 ladies detective agency ),tears of the giraffe,1400031354
10622,alexander mccall smith,the full cupboard of life : more from the no . 1 ladies' detective agency,the full cupboard of life,0375422188
947,alexander mccall smith,the kalahari typing school for men : more from the no . 1 ladies' detective agency,the kalahari typing school for men,037542217X
3371,alexander mccall smith,the no . 1 ladies' detective agency,the no . 1 ladies' detective agency,1400031346
742,alexander mccall smith,the no . 1 ladies' detective agency ( today show book club #8 ),the no . 1 ladies' detective agency,1400034779
8502,alexander solzhenitsyn,one day in the life of ivan denisovich ( signet classics ( paperback ) ),one day in the life of ivan denisovich,0451527097
7947,alexander solzhenitsyn,"the gulag archipelago , 1918 - 1956 : an experiment in literary investigation i - ii","the gulag archipelago , 1918 - 1956",0060139145
7005,alexandra lapierre,artemisia : a novel,artemisia,0802138578
16286,alexandra raife,drumveyn,drumveyn,0451191390
11752,alexandra raife,wild highland home,wild highland home,0451194691
15673,alexandra ripley,from fields of gold,from fields of gold,0446514063
14760,alexandra ripley,new orleans legacy,new orleans legacy,0446342106
6168,alexandra ripley,"scarlett : the sequel to margaret mitchell's gone with the wind""""",scarlett,0446363251
4631,alexandra ripley,scarlett : the sequel to margaret mitchell's gone with the wind,scarlett,0446515078
15186,alexandra robbins,pledged : the secret life of sororities,pledged,1401300464
9793,alexandra robbins,quarterlife crisis : the unique challenges of life in your twenties,quarterlife crisis,1585421065
6316,alexandra sellers,"playboy sheikh ( man of the month / sons of the desert ) ( silhouette desire , no . 1417 )",playboy sheikh,0373764170
11608,alexandre dumas,the count of monte cristo,the count of monte cristo,0451521951
16582,alexandre dumas,the count of monte cristo ( penguin classics ),the count of monte cristo,014044615X
6429,alexandre dumas,the man in the iron mask ( signet regency romance ),the man in the iron mask,0451197003
9583,alexandre dumas,the three musketeers,the three musketeers,0451525949
12895,alexandre dumas,the three musketeers,the three musketeers,0515034924
